Predictable-Short,Unpredictable-Short,Predictable-Long,Unpredictable-Long
0.666666666666667,0.333333333333333,0.580645161290323,0.857142857142857
0.428571428571429,0.875,0.826086956521739,0.777777777777778
0.588235294117647,0.529411764705882,0.866666666666667,0.875
0.461538461538462,0.571428571428571,0.666666666666667,0.555555555555556
0.466666666666667,0.333333333333333,0.555555555555556,0.666666666666667
0.55,0.4,0.416666666666667,0.777777777777778
0.333333333333333,0.333333333333333,0.44,0.636363636363636
0.333333333333333,0.555555555555556,0.5,0.363636363636364
0.466666666666667,0.666666666666667,0.421052631578947,0.333333333333333
0.714285714285714,0.5,0.583333333333333,0.444444444444444
