code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
306,0.65,1,8,2,0.683288985999752,2,306,12,2,1.45487148400025,3,1,0.683288985999752,2,0,1,0,0,NaN,NaN,2
356,0.65,1,8,2,1.27945342100065,2,356,14,1,0.57638783999937,4,1,1.27945342100065,1,0,1,0,0,NaN,NaN,2
105,0.65,1,4,1,0.608355935000873,1,105,3,4,1.02456722999887,3,1,0.608355935000873,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
185,0.65,3,4,2,0.674850265999339,2,185,8,4,0.174743999999919,4,1,0.674850265999339,4,0,1,0,0,NaN,NaN,2
305,0.65,1,8,2,1.38121681700068,2,305,12,1,1.24787806900167,3,1,1.38121681700068,1,0,1,0,0,NaN,NaN,2
189,0.65,3,4,2,0.776805327001057,2,189,8,4,0.173365891001595,4,1,0.776805327001057,4,0,1,0,0,NaN,NaN,2
195,0.65,1,8,2,2.28744753700084,1,195,1,1,0.410290046000227,1,0,NaN,NaN,0,0,0,1,0.923879532511287,0.38268343236509,2
45,0.65,3,4,2,0.573548692000259,2,45,8,4,0.173630364000928,1,1,0.573548692000259,4,0,1,0,0,NaN,NaN,2
263,0.65,1,8,2,0.869013148001613,2,263,12,3,0.307437593999566,2,1,0.869013148001613,3,0,1,0,0,NaN,NaN,2
114,0.65,1,4,2,0.679201797000133,2,114,7,4,0.170749790000627,3,1,0.679201797000133,4,0,1,0,0,NaN,NaN,2
156,0.65,1,4,1,0.402849451998918,1,156,4,4,0.176276747999509,4,1,0.402849451998918,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
261,0.65,1,8,1,1.50896608599942,2,261,15,1,0.235229828998854,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
268,1.4,3,8,1,0.603074552998805,1,268,3,4,0.171250082999904,2,1,0.603074552998805,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
200,0.65,1,8,1,0.607203285999276,1,200,2,4,0.172300176000135,1,1,0.607203285999276,4,1,0,0,0,0.38268343236509,0.923879532511287,2
293,0.65,1,8,1,0.505798875001346,1,293,5,4,0.173623183000018,3,1,0.505798875001346,4,1,0,0,0,-0.923879532511287,-0.38268343236509,2
56,0.65,1,4,1,0.804716937000194,1,56,2,4,0.17149244599932,2,1,0.804716937000194,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
151,0.65,1,4,1,0.506023784999343,1,151,4,4,0.177356624999447,4,1,0.506023784999343,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
