code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
296,0.65,1,8,2,1.57602757199857,1,296,6,2,2.7914884640013,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
236,1.4,3,8,2,1.87735038100072,2,236,11,3,1.49262708899914,1,1,1.87735038100072,3,0,1,0,0,NaN,NaN,2
18,0.65,1,4,2,2.27203774699956,2,18,5,4,2.179191954001,1,1,2.27203774699956,4,0,1,0,0,NaN,NaN,2
77,0.65,3,4,1,0.805950354999368,1,77,2,4,1.6758255249988,2,1,0.805950354999368,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
29,0.65,3,4,1,0.707791998000175,1,29,1,4,2.03272244199979,1,1,0.707791998000175,4,1,0,0,0,0.707106781186548,0.707106781186547,2
13,0.65,1,4,2,1.47218797099777,2,13,8,4,0.342467720998684,1,1,1.47218797099777,4,0,1,0,0,NaN,NaN,2
256,0.65,1,8,2,1.67499074000079,2,256,12,3,2.32586734199867,2,1,1.67499074000079,3,0,1,0,0,NaN,NaN,2
202,0.65,1,8,2,2.07335791999867,1,202,2,3,1.98236495799938,1,0,NaN,NaN,0,0,0,1,0.38268343236509,0.923879532511287,2
268,1.4,3,8,1,1.24210433500048,1,268,3,3,0.80181925099896,2,1,1.24210433500048,3,1,0,0,0,-0.38268343236509,0.923879532511287,2
346,0.65,1,8,1,1.42569138799809,1,346,8,2,2.14011676500013,4,1,1.42569138799809,2,1,0,0,0,0.923879532511287,-0.38268343236509,2
133,0.65,3,4,2,0.97396105399821,2,133,5,4,0.673854454998946,3,1,0.97396105399821,4,0,1,0,0,NaN,NaN,2
207,0.65,1,8,2,1.67699072899995,2,207,12,4,0.674983630000497,1,1,1.67699072899995,4,0,1,0,0,NaN,NaN,2
113,0.65,1,4,2,1.27127682199716,2,113,5,4,0.170237686998007,3,1,1.27127682199716,4,0,1,0,0,NaN,NaN,2
277,0.65,3,8,1,1.8167293109982,2,277,11,4,4.0400875919986,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
128,1.4,3,4,1,0.705534390999674,1,128,3,4,0.171120227001666,3,1,0.705534390999674,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
246,0.65,1,8,1,0.803782097998919,1,246,3,4,0.506060773001082,2,1,0.803782097998919,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
88,1.4,3,4,2,2.48503533999974,2,88,7,NaN,4.03654144800021,2,1,2.48503533999974,NaN,0,1,0,0,NaN,NaN,2
185,0.65,3,4,2,0.769907521000277,2,185,7,4,0.837172228002601,4,1,0.769907521000277,4,0,1,0,0,NaN,NaN,2
62,0.65,1,4,2,0.771675636002328,2,62,6,4,0.673043351998786,2,1,0.771675636002328,4,0,1,0,0,NaN,NaN,2
140,1.4,3,4,2,2.17524023499936,2,140,5,4,0.169590318000701,3,1,2.17524023499936,4,0,1,0,0,NaN,NaN,2
365,0.65,3,8,2,1.68495236699891,1,365,7,3,2.21824150400062,4,0,NaN,NaN,0,0,0,1,0.38268343236509,-0.923879532511287,2
45,0.65,3,4,2,1.09635641600107,2,45,6,4,0.899699367000721,1,1,1.09635641600107,4,0,1,0,0,NaN,NaN,2
281,0.65,3,8,2,2.17163318099847,2,281,13,2,1.28016555299837,2,1,2.17163318099847,2,0,1,0,0,NaN,NaN,2
76,1.4,3,4,1,0.703885777998948,1,76,2,4,0.672253488999559,2,1,0.703885777998948,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
304,0.65,1,8,2,1.88026185300259,2,304,9,3,0.304941148999205,3,1,1.88026185300259,3,0,1,0,0,NaN,NaN,2
184,1.4,3,4,2,1.3715755580015,2,184,5,4,0.170189352000307,4,1,1.3715755580015,4,0,1,0,0,NaN,NaN,2
111,0.65,1,4,2,1.17275746099767,2,111,5,4,2.0186964429995,3,1,1.17275746099767,4,0,1,0,0,NaN,NaN,2
200,0.65,1,8,1,1.90040626499831,1,200,2,4,0.843596080998395,1,1,1.90040626499831,4,1,0,0,0,0.38268343236509,0.923879532511287,2
377,0.65,3,8,1,1.71387617499931,2,377,9,3,0.645623854001315,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
269,0.65,3,8,1,0.912362741000834,1,269,3,4,2.0222301419999,2,1,0.912362741000834,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
106,0.65,1,4,1,0.701720430999558,1,106,3,4,0.173499065997021,3,1,0.701720430999558,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
21,0.65,1,4,2,0.976133102998574,2,21,6,4,0.175297817000683,1,1,0.976133102998574,4,0,1,0,0,NaN,NaN,2
124,1.4,3,4,1,1.00494269699993,1,124,3,4,0.170870542002376,3,1,1.00494269699993,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
40,1.4,3,4,2,1.37882150800215,2,40,7,4,0.343023868001183,1,1,1.37882150800215,4,0,1,0,0,NaN,NaN,2
188,1.4,3,4,2,1.07389888800026,2,188,7,4,0.850283854997542,4,1,1.07389888800026,4,0,1,0,0,NaN,NaN,2
147,0.65,1,4,1,1.30572362300154,1,147,4,4,0.176720466002735,4,1,1.30572362300154,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
65,0.65,1,4,2,1.578749823002,2,65,8,3,0.979264326000703,2,1,1.578749823002,3,0,1,0,0,NaN,NaN,2
59,0.65,1,4,1,0.705340997999883,1,59,2,3,0.137829708997742,2,1,0.705340997999883,3,1,0,0,0,-0.707106781186547,0.707106781186548,2
216,0.65,1,8,2,1.18038669299858,2,216,13,2,0.94590246000007,1,1,1.18038669299858,2,0,1,0,0,NaN,NaN,2
152,0.65,1,4,2,3.97231611499956,1,152,4,2,0.617305674997624,4,0,NaN,NaN,0,0,0,1,0.707106781186547,-0.707106781186548,2
321,0.65,3,8,2,2.49046824200195,1,321,6,4,1.19145291099994,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
288,1.4,3,8,2,2.08397989400328,2,288,13,3,2.32181826400119,2,1,2.08397989400328,3,0,1,0,0,NaN,NaN,2
84,1.4,3,4,1,0.401972120998835,1,84,2,4,0.85153045900006,2,1,0.401972120998835,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
245,0.65,1,8,1,0.707293179999397,1,245,3,4,1.01024362099997,2,1,0.707293179999397,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
159,0.65,1,4,2,2.37922271999923,2,159,5,4,0.172361813998577,4,1,2.37922271999923,4,0,1,0,0,NaN,NaN,2
369,0.65,3,8,2,2.08258702199964,1,369,8,3,0.808193968998239,4,0,NaN,NaN,0,0,0,1,0.923879532511287,-0.38268343236509,2
241,0.65,1,8,2,1.17456243999914,1,241,3,4,3.69943981100005,2,0,NaN,NaN,0,0,0,1,-0.38268343236509,0.923879532511287,2
199,0.65,1,8,1,0.70495837099952,1,199,2,4,0.170360583997535,1,1,0.70495837099952,4,1,0,0,0,0.38268343236509,0.923879532511287,2
109,0.65,1,4,2,0.969988983000803,2,109,7,4,0.172799135001696,3,1,0.969988983000803,4,0,1,0,0,NaN,NaN,2
291,0.65,1,8,2,1.37209812400033,1,291,5,3,0.472330267999496,3,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,2
54,0.65,1,4,1,0.400391024002602,1,54,2,4,0.170945576999657,2,1,0.400391024002602,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
68,0.65,1,4,2,0.770305316000304,2,68,7,4,0.162533537000854,2,1,0.770305316000304,4,0,1,0,0,NaN,NaN,2
148,0.65,1,4,1,1.20354258100269,1,148,4,4,0.335230846998456,4,1,1.20354258100269,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
201,0.65,1,8,1,2.11338054599764,1,201,2,3,1.64465870000276,1,1,2.11338054599764,3,1,0,0,0,0.38268343236509,0.923879532511287,2
257,0.65,1,8,2,1.17556406299991,2,257,11,2,0.942398742998193,2,1,1.17556406299991,2,0,1,0,0,NaN,NaN,2
280,1.4,3,8,2,0.972597521998978,2,280,11,3,0.305239298999368,2,1,0.972597521998978,3,0,1,0,0,NaN,NaN,2
10,0.65,1,4,1,0.804603920001682,1,10,1,4,1.02457175900054,1,1,0.804603920001682,4,1,0,0,0,0.707106781186548,0.707106781186547,2
307,0.65,1,8,2,1.07170317299824,2,307,12,3,1.14588348100006,3,1,1.07170317299824,3,0,1,0,0,NaN,NaN,2
180,1.4,3,4,1,0.903858046996902,1,180,4,4,0.158535902002768,4,1,0.903858046996902,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
333,0.65,3,8,2,0.977366928000265,2,333,9,3,1.14865676900081,3,1,0.977366928000265,3,0,1,0,0,NaN,NaN,2
67,0.65,1,4,2,2.28275333999773,2,67,8,4,0.507298625001567,2,1,2.28275333999773,4,0,1,0,0,NaN,NaN,2
14,0.65,1,4,2,0.869859783997526,2,14,5,4,2.01406828300242,1,1,0.869859783997526,4,0,1,0,0,NaN,NaN,2
136,1.4,3,4,2,0.666769171999476,2,136,5,4,0.168474152000272,3,1,0.666769171999476,4,0,1,0,0,NaN,NaN,2
220,1.4,3,8,1,1.70567145300083,1,220,1,3,0.476272328996856,1,1,1.70567145300083,3,1,0,0,0,0.923879532511287,0.38268343236509,2
293,0.65,1,8,1,0.603289672002575,1,293,5,4,0.510973453998304,3,1,0.603289672002575,4,1,0,0,0,-0.923879532511287,-0.38268343236509,2
44,1.4,3,4,2,0.669218458999239,2,44,8,4,0.170708130001003,1,1,0.669218458999239,4,0,1,0,0,NaN,NaN,2
92,1.4,3,4,2,0.770880803000182,2,92,8,4,0.16076608900039,2,1,0.770880803000182,4,0,1,0,0,NaN,NaN,2
359,0.65,1,8,2,2.48034896399986,2,359,14,3,0.983654147999914,4,1,2.48034896399986,3,0,1,0,0,NaN,NaN,2
668,1.4,3,8,2,2.89193168999918,2,284,15,1,1.08502227799909,2,1,2.89193168999918,1,0,1,0,0,NaN,NaN,2
557,0.65,3,4,1,0.60214029099734,1,173,4,4,0.16974673599907,4,1,0.60214029099734,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
509,0.65,3,4,2,0.869277732999763,1,125,3,4,2.85531314199761,3,0,NaN,NaN,0,0,0,1,-0.707106781186548,-0.707106781186547,2
604,1.4,3,8,1,1.10764668999764,1,220,1,3,0.137352887002635,1,1,1.10764668999764,3,1,0,0,0,0.923879532511287,0.38268343236509,2
546,1.4,1,4,1,3.61287068900128,2,162,7,3,0.302217405998817,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
685,1.4,1,8,2,1.47156382700268,2,301,10,3,0.304901118000998,3,1,1.47156382700268,3,0,1,0,0,NaN,NaN,2
617,0.65,3,8,2,1.47833426600118,2,233,15,3,0.136777936000726,1,1,1.47833426600118,3,0,1,0,0,NaN,NaN,2
581,1.4,1,8,1,1.00766653100072,1,197,1,3,0.641383523998229,1,1,1.00766653100072,3,1,0,0,0,0.923879532511287,0.38268343236509,2
592,1.4,1,8,1,3.01462332400115,2,208,16,3,0.803804062998097,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
468,1.4,3,4,1,0.502916556997661,1,84,2,4,0.340582539996831,2,1,0.502916556997661,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
765,0.65,3,8,2,1.28021311500197,2,381,11,3,0.304637415996694,4,1,1.28021311500197,3,0,1,0,0,NaN,NaN,2
686,1.4,1,8,2,1.07888473899948,2,302,10,3,0.305273387999478,3,1,1.07888473899948,3,0,1,0,0,NaN,NaN,2
464,1.4,3,4,1,0.303020777999336,1,80,2,4,0.171506709000823,2,1,0.303020777999336,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
561,0.65,3,4,1,1.00760793100198,1,177,4,4,0.508712130002095,4,1,1.00760793100198,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
505,0.65,3,4,1,0.505806834000396,1,121,3,4,0.505556857002375,3,1,0.505806834000396,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
688,1.4,1,8,2,0.877849919001164,2,304,9,3,0.642784236999432,3,1,0.877849919001164,3,0,1,0,0,NaN,NaN,2
438,1.4,1,4,1,0.601956909998989,1,54,2,4,0.172719223999593,2,1,0.601956909998989,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
632,1.4,1,8,1,0.907618154000374,1,248,4,4,0.172633908001444,2,1,0.907618154000374,4,1,0,0,0,-0.923879532511287,0.38268343236509,2
745,0.65,3,8,2,0.980315581997274,1,361,7,3,1.48922853899785,4,0,NaN,NaN,0,0,0,1,0.38268343236509,-0.923879532511287,2
579,1.4,1,8,1,0.806922675998067,1,195,1,4,0.172551503997965,1,1,0.806922675998067,4,1,0,0,0,0.923879532511287,0.38268343236509,2
661,0.65,3,8,2,0.971899959000439,2,277,10,3,0.635612682002829,2,1,0.971899959000439,3,0,1,0,0,NaN,NaN,2
576,1.4,3,4,2,0.969595833998028,2,192,6,4,2.02403454299929,4,1,0.969595833998028,4,0,1,0,0,NaN,NaN,2
564,1.4,3,4,1,0.717731749999075,1,180,4,4,0.176963644000352,4,1,0.717731749999075,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
644,1.4,1,8,2,1.07572055299897,2,260,14,3,0.478280153998639,2,1,1.07572055299897,3,0,1,0,0,NaN,NaN,2
529,1.4,1,4,1,1.51002260599853,1,145,4,3,1.82248226699812,4,1,1.51002260599853,3,1,0,0,0,0.707106781186547,-0.707106781186548,2
657,0.65,3,8,1,0.505798657999549,1,273,4,4,0.173921361001703,2,1,0.505798657999549,4,1,0,0,0,-0.923879532511287,0.38268343236509,2
465,0.65,3,4,1,0.401227269998344,1,81,2,4,0.505240498001513,2,1,0.401227269998344,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
535,1.4,1,4,2,2.87725080000018,1,151,4,3,1.31136345499908,4,0,NaN,NaN,0,0,0,1,0.707106781186547,-0.707106781186548,2
425,0.65,3,4,2,1.07094468400101,2,41,5,4,0.168476319999172,1,1,1.07094468400101,4,0,1,0,0,NaN,NaN,2
417,0.65,3,4,1,1.00546845999997,1,33,1,4,0.861472887001582,1,1,1.00546845999997,4,1,0,0,0,0.707106781186548,0.707106781186547,2
704,1.4,3,8,2,1.17577193800025,1,320,6,2,1.28445016799742,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
472,1.4,3,4,2,1.37526774499929,2,88,6,4,0.170461251000233,2,1,1.37526774499929,4,0,1,0,0,NaN,NaN,2
442,1.4,1,4,1,0.298906583000644,1,58,2,4,0.515854370998568,2,1,0.298906583000644,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
568,1.4,3,4,1,0.709033982999244,2,184,6,4,0.173819665000337,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
