code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
340,0.65,1,8,2,1.06758816399997,1,340,7,2,1.62028772699887,4,0,NaN,NaN,0,0,0,1,0.38268343236509,-0.923879532511287,2
58,0.65,1,4,1,0.702371749999656,1,58,2,NaN,4.02913637100028,2,1,0.702371749999656,NaN,1,0,0,0,-0.707106781186547,0.707106781186548,2
37,0.65,3,4,2,1.26966280099987,2,37,7,4,2.53485274900049,1,1,1.26966280099987,4,0,1,0,0,NaN,NaN,2
164,0.65,1,4,2,0.764892194001732,2,164,6,4,0.504641903999072,4,1,0.764892194001732,4,0,1,0,0,NaN,NaN,2
85,0.65,3,4,2,0.867564340000172,2,85,8,4,2.82888612699935,2,1,0.867564340000172,4,0,1,0,0,NaN,NaN,2
103,0.65,1,4,1,1.1002043389999,1,103,3,4,0.33847649999916,3,1,1.1002043389999,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
254,0.65,1,8,1,1.29518207399997,2,254,10,2,0.943707479000295,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
309,0.65,1,8,2,1.46408007900027,2,309,10,4,3.49206060799952,3,1,1.46408007900027,4,0,1,0,0,NaN,NaN,2
192,1.4,3,4,2,0.665002319999985,2,192,8,4,0.345679828000357,4,1,0.665002319999985,4,0,1,0,0,NaN,NaN,2
22,0.65,1,4,2,1.56168298900047,2,22,8,4,1.35134963100063,1,1,1.56168298900047,4,0,1,0,0,NaN,NaN,2
237,0.65,3,8,2,0.967289738000545,2,237,12,2,0.271798996000143,1,1,0.967289738000545,2,0,1,0,0,NaN,NaN,2
52,0.65,1,4,1,1.31056863500089,1,52,2,4,0.545555354001408,2,1,1.31056863500089,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
253,0.65,1,8,2,1.86966953699994,2,253,10,2,0.274380374999964,2,1,1.86966953699994,2,0,1,0,0,NaN,NaN,2
358,0.65,1,8,2,2.87206800500098,2,358,15,1,0.236133361999237,4,1,2.87206800500098,1,0,1,0,0,NaN,NaN,2
48,1.4,3,4,1,0.900245337001252,2,48,6,4,0.673006580998845,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
