code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
197,0.65,1,8,1,1.09233822600072,1,197,1,4,0.917489334999118,1,1,1.09233822600072,4,1,0,0,0,0.923879532511287,0.38268343236509,1
147,0.65,1,4,1,1.29002546900119,1,147,4,4,0.182431277000433,4,1,1.29002546900119,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
288,1.4,3,8,1,1.62691898899902,2,288,13,3,1.02526100700015,2,0,NaN,NaN,0,0,1,0,NaN,NaN,1
325,0.65,3,8,1,2.54621749100079,2,325,13,2,1.12331687400001,3,0,NaN,NaN,0,0,1,0,NaN,NaN,1
269,0.65,3,8,NaN,4.09597860400027,1,269,3,2,1.1311447370008,2,0,NaN,NaN,0,0,0,0,-0.38268343236509,0.923879532511287,1
205,0.65,1,8,1,1.42704201400011,2,205,12,1,1.09496493199913,1,0,NaN,NaN,0,0,1,0,NaN,NaN,1
167,0.65,1,4,2,0.737949415999537,2,167,5,1,0.256166490000396,4,1,0.737949415999537,1,0,1,0,0,NaN,NaN,1
173,0.65,3,4,1,1.01536642700012,1,173,4,4,0.857312693000495,4,1,1.01536642700012,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
141,0.65,3,4,2,0.881436654999561,2,141,8,4,0.341840114999286,3,1,0.881436654999561,4,0,1,0,0,NaN,NaN,1
317,0.65,3,8,2,2.21423387700088,1,317,5,2,0.614829472000565,3,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,1
14,0.65,1,4,2,1.08878296399962,2,14,5,4,0.171107181999105,1,1,1.08878296399962,4,0,1,0,0,NaN,NaN,1
384,1.4,3,8,2,1.18406869499995,2,384,15,2,0.614007565998691,4,1,1.18406869499995,2,0,1,0,0,NaN,NaN,1
109,0.65,1,4,2,1.08782811700075,2,109,7,4,0.171890749999875,3,1,1.08782811700075,4,0,1,0,0,NaN,NaN,1
188,1.4,3,4,2,1.10301422999873,2,188,7,4,0.171090116999039,4,1,1.10301422999873,4,0,1,0,0,NaN,NaN,1
33,0.65,3,4,1,1.22821953999846,1,33,1,4,0.17449018499974,1,1,1.22821953999846,4,1,0,0,0,0.707106781186548,0.707106781186547,1
