code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
393,1.4,1,4,1,0.571624213000177,1,9,1,4,0.173077103000196,1,1,0.571624213000177,4,1,0,0,0,0.707106781186548,0.707106781186547,2
485,1.4,1,4,1,2.28368767899974,1,101,3,4,0.846376534999763,3,1,2.28368767899974,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
637,1.4,1,8,2,1.49982182699978,2,253,12,3,0.302103776999957,2,1,1.49982182699978,3,0,1,0,0,NaN,NaN,2
734,1.4,1,8,2,0.80134938800029,2,350,13,2,0.438285176000136,4,1,0.80134938800029,2,0,1,0,0,NaN,NaN,2
589,1.4,1,8,1,1.36697059200014,2,205,10,2,0.102692714000113,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
428,1.4,3,4,2,0.600590837999789,2,44,5,4,0.336730262999936,1,1,0.600590837999789,4,0,1,0,0,NaN,NaN,2
535,1.4,1,4,1,0.472614960000101,1,151,4,4,0.172374686000239,4,1,0.472614960000101,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
585,1.4,1,8,1,1.06709934900027,1,201,2,4,0.583132914000089,1,1,1.06709934900027,4,1,0,0,0,0.38268343236509,0.923879532511287,2
579,1.4,1,8,1,1.56794356299997,1,195,1,3,0.135016429999723,1,1,1.56794356299997,3,1,0,0,0,0.923879532511287,0.38268343236509,2
761,0.65,3,8,2,0.811114881999856,2,377,16,3,0.300977383999907,4,1,0.811114881999856,3,0,1,0,0,NaN,NaN,2
509,0.65,3,4,1,0.488889221000136,1,125,3,4,0.340310583999781,3,1,0.488889221000136,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
743,1.4,1,8,2,0.599510622999787,2,359,10,4,0.334602467999957,4,1,0.599510622999787,4,0,1,0,0,NaN,NaN,2
447,1.4,1,4,2,0.5307647919999,2,63,6,4,1.21230271700006,2,1,0.5307647919999,4,0,1,0,0,NaN,NaN,2
516,1.4,3,4,1,0.37852345500005,1,132,3,4,0.171359421000034,3,1,0.37852345500005,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
578,1.4,1,8,1,0.566376537999986,1,194,1,4,0.515633294000054,1,1,0.566376537999986,4,1,0,0,0,0.923879532511287,0.38268343236509,2
493,1.4,1,4,2,1.30736887900002,2,109,6,4,0.337906707999991,3,1,1.30736887900002,4,0,1,0,0,NaN,NaN,2
388,1.4,1,4,1,0.503171563999786,1,4,1,4,0.583784292000018,1,1,0.503171563999786,4,1,0,0,0,0.707106781186548,0.707106781186547,2
497,1.4,1,4,2,0.766315969000061,2,113,7,4,0.168418185000064,3,1,0.766315969000061,4,0,1,0,0,NaN,NaN,2
483,1.4,1,4,1,0.969994616999884,1,99,3,4,0.166654526999992,3,1,0.969994616999884,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
402,1.4,1,4,2,0.500659768999867,2,18,5,4,0.169123639999725,1,1,0.500659768999867,4,0,1,0,0,NaN,NaN,2
590,1.4,1,8,2,0.998784241000067,2,206,15,4,0.336182750000262,1,1,0.998784241000067,4,0,1,0,0,NaN,NaN,2
552,1.4,1,4,2,0.401164251999944,2,168,5,4,0.170476755999971,4,1,0.401164251999944,4,0,1,0,0,NaN,NaN,2
629,1.4,1,8,1,1.17124678200025,1,245,3,4,0.510623800000303,2,1,1.17124678200025,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
696,1.4,1,8,2,0.800072428000021,2,312,10,3,0.301778929000193,3,1,0.800072428000021,3,0,1,0,0,NaN,NaN,2
524,1.4,3,4,2,0.498395649000031,2,140,5,4,0.17069477799987,3,1,0.498395649000031,4,0,1,0,0,NaN,NaN,2
