code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
590,1.4,1,8,2,1.79167375600082,2,206,14,NaN,4.04511087300125,1,1,1.79167375600082,NaN,0,1,0,0,NaN,NaN,1
560,1.4,3,4,1,0.77349254299952,1,176,4,4,0.680446467000365,4,1,0.77349254299952,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
738,1.4,1,8,1,0.874613244999637,2,354,12,3,0.310687392000546,4,0,NaN,NaN,0,0,1,0,NaN,NaN,1
588,1.4,1,8,1,2.07120335799846,1,204,2,4,1.01689025400083,1,1,2.07120335799846,4,1,0,0,0,0.38268343236509,0.923879532511287,1
406,1.4,1,4,2,0.708144293999794,2,22,8,4,0.505070246999821,1,1,0.708144293999794,4,0,1,0,0,NaN,NaN,1
400,1.4,1,4,2,0.806657559998712,2,16,6,4,0.335224514999936,1,1,0.806657559998712,4,0,1,0,0,NaN,NaN,1
756,1.4,3,8,1,0.872922419999668,1,372,8,4,0.172947393999493,4,1,0.872922419999668,4,1,0,0,0,0.923879532511287,-0.38268343236509,1
451,1.4,1,4,2,0.699445714999456,2,67,6,4,0.169076931999371,2,1,0.699445714999456,4,0,1,0,0,NaN,NaN,1
473,0.65,3,4,2,0.505621132999295,2,89,5,4,0.168559251000261,2,1,0.505621132999295,4,0,1,0,0,NaN,NaN,1
621,0.65,3,8,2,0.803293676999601,2,237,13,3,1.30481329299982,1,1,0.803293676999601,3,0,1,0,0,NaN,NaN,1
508,1.4,3,4,1,0.867705354999998,1,124,3,4,0.17039941099938,3,1,0.867705354999998,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
649,0.65,3,8,2,1.8096246490004,1,265,3,2,0.44101400999898,2,0,NaN,NaN,0,0,0,1,-0.38268343236509,0.923879532511287,1
492,1.4,1,4,1,0.664754765000907,1,108,3,4,0.170116093000615,3,1,0.664754765000907,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
461,0.65,3,4,1,0.668301603000145,1,77,2,4,0.16903323599945,2,1,0.668301603000145,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
504,1.4,1,4,2,0.504425926999829,2,120,7,4,0.353827635000926,3,1,0.504425926999829,4,0,1,0,0,NaN,NaN,1
609,0.65,3,8,1,0.669857189999675,1,225,2,4,2.21103892099927,1,1,0.669857189999675,4,1,0,0,0,0.38268343236509,0.923879532511287,1
480,1.4,3,4,2,0.505392831999416,2,96,7,4,0.334827118998874,2,1,0.505392831999416,4,0,1,0,0,NaN,NaN,1
669,0.65,3,8,2,0.910042186998908,2,285,14,3,0.302055157999348,2,1,0.910042186998908,3,0,1,0,0,NaN,NaN,1
744,1.4,1,8,2,0.805062225001166,2,360,12,3,0.134548333999192,4,1,0.805062225001166,3,0,1,0,0,NaN,NaN,1
678,1.4,1,8,1,1.07187267200061,1,294,5,4,0.169683198000712,3,1,1.07187267200061,4,1,0,0,0,-0.923879532511287,-0.38268343236509,1
550,1.4,1,4,2,0.605255693999425,2,166,8,4,0.170495485001084,4,1,0.605255693999425,4,0,1,0,0,NaN,NaN,1
569,0.65,3,4,2,1.34777191799913,2,185,6,4,0.335285732999182,4,1,1.34777191799913,4,0,1,0,0,NaN,NaN,1
552,1.4,1,4,2,0.603182062999622,2,168,6,4,0.170612497000548,4,1,0.603182062999622,4,0,1,0,0,NaN,NaN,1
637,1.4,1,8,2,1.20585920899975,2,253,11,3,0.137446078000721,2,1,1.20585920899975,3,0,1,0,0,NaN,NaN,1
729,1.4,1,8,1,0.77620975300124,1,345,8,4,0.168764750000264,4,1,0.77620975300124,4,1,0,0,0,0.923879532511287,-0.38268343236509,1
485,1.4,1,4,1,0.576123708000523,1,101,3,4,0.172881655998935,3,1,0.576123708000523,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
679,1.4,1,8,2,1.0147458219999,1,295,6,3,0.637333151000348,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,1
443,1.4,1,4,1,1.17589301899898,1,59,2,4,1.02333880900005,2,1,1.17589301899898,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
397,1.4,1,4,2,0.607740779998494,2,13,8,4,0.169408783000108,1,1,0.607740779998494,4,0,1,0,0,NaN,NaN,1
445,1.4,1,4,2,0.604161203000331,2,61,6,4,0.172015664000355,2,1,0.604161203000331,4,0,1,0,0,NaN,NaN,1
452,1.4,1,4,2,0.499524453000049,2,68,6,4,3.69214595400081,2,1,0.499524453000049,4,0,1,0,0,NaN,NaN,1
664,1.4,3,8,2,0.906037500999446,2,280,9,3,0.639211208001143,2,1,0.906037500999446,3,0,1,0,0,NaN,NaN,1
416,1.4,3,4,1,0.5691680609998,1,32,1,4,0.171657261000291,1,1,0.5691680609998,4,1,0,0,0,0.707106781186548,0.707106781186547,1
436,1.4,1,4,1,0.59579003699946,1,52,2,4,0.217298546998791,2,1,0.59579003699946,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
660,1.4,3,8,1,0.971495974999925,1,276,4,2,0.60569065799973,2,1,0.971495974999925,2,1,0,0,0,-0.923879532511287,0.38268343236509,1
413,0.65,3,4,1,0.668402491000961,1,29,1,4,0.169689230000586,1,1,0.668402491000961,4,1,0,0,0,0.707106781186548,0.707106781186547,1
409,0.65,3,4,1,1.68081906899897,1,25,1,4,0.505154034999578,1,1,1.68081906899897,4,1,0,0,0,0.707106781186548,0.707106781186547,1
387,1.4,1,4,1,0.469196160000138,1,3,1,4,0.169194805999723,1,1,0.469196160000138,4,1,0,0,0,0.707106781186548,0.707106781186547,1
727,1.4,1,8,1,0.569554054000037,1,343,8,4,0.850010589001613,4,1,0.569554054000037,4,1,0,0,0,0.923879532511287,-0.38268343236509,1
440,1.4,1,4,1,0.668634559000566,1,56,2,4,0.165874102000089,2,1,0.668634559000566,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
573,0.65,3,4,2,2.11804299600044,2,189,5,4,0.168632483999318,4,1,2.11804299600044,4,0,1,0,0,NaN,NaN,1
497,1.4,1,4,2,1.00498987900028,2,113,8,4,0.17069862200151,3,1,1.00498987900028,4,0,1,0,0,NaN,NaN,1
674,1.4,1,8,1,0.768215410000266,1,290,5,4,0.167857819998972,3,1,0.768215410000266,4,1,0,0,0,-0.923879532511287,-0.38268343236509,1
705,0.65,3,8,2,1.10645316400041,1,321,6,3,0.139564184000847,3,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,1
749,0.65,3,8,1,0.473114996999357,1,365,7,4,0.167274938999981,4,1,0.473114996999357,4,1,0,0,0,0.38268343236509,-0.923879532511287,1
764,1.4,3,8,2,1.59750845799863,2,380,16,2,0.267739999000696,4,1,1.59750845799863,2,0,1,0,0,NaN,NaN,1
509,0.65,3,4,1,1.37719258299876,1,125,3,4,0.340421175000301,3,1,1.37719258299876,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
557,0.65,3,4,1,0.471103874000619,1,173,4,4,0.170246325000335,4,1,0.471103874000619,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
528,1.4,3,4,2,1.00364771000022,2,144,7,NaN,4.01388419099931,3,1,1.00364771000022,NaN,0,1,0,0,NaN,NaN,1
444,1.4,1,4,1,0.470930645000408,1,60,2,4,0.168892749999941,2,1,0.470930645000408,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
534,1.4,1,4,1,0.370254908999414,1,150,4,4,0.162557448998996,4,1,0.370254908999414,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
721,1.4,1,8,1,0.870230359998459,1,337,7,3,0.638727342999118,4,1,0.870230359998459,3,1,0,0,0,0.38268343236509,-0.923879532511287,1
585,1.4,1,8,2,1.30382643600024,1,201,2,4,0.345629359000668,1,0,NaN,NaN,0,0,0,1,0.38268343236509,0.923879532511287,1
580,1.4,1,8,1,0.67028910999943,1,196,1,4,0.170631554001375,1,1,0.67028910999943,4,1,0,0,0,0.923879532511287,0.38268343236509,1
765,0.65,3,8,2,0.999391930999991,2,381,11,3,0.126852756000517,4,1,0.999391930999991,3,0,1,0,0,NaN,NaN,1
640,1.4,1,8,2,0.601235172000088,2,256,14,3,0.469380189000731,2,1,0.601235172000088,3,0,1,0,0,NaN,NaN,1
499,1.4,1,4,2,0.501413924999724,2,115,6,4,0.169017928001267,3,1,0.501413924999724,4,0,1,0,0,NaN,NaN,1
495,1.4,1,4,2,0.501045622000674,2,111,7,4,0.168735874000049,3,1,0.501045622000674,4,0,1,0,0,NaN,NaN,1
