pos_rad,foreperiod,predictability,difficulty,GroupCount,nanmean_Subject_code,std_Subject_code,nanmean_trial_code,std_trial_code,nanmean_response,std_response,nanmean_reaction_time,std_reaction_time,nanmean_correct_response,std_correct_response,nanmean_stimulus,std_stimulus,nanmean_question,std_question,nanmean_confidence,std_confidence,nanmean_confidence_RT,std_confidence_RT,nanmean_score,std_score,nanmean_RTCorrect,std_RTCorrect,nanmean_ConfCorrect,std_ConfCorrect,nanmean_TP,std_TP,nanmean_TN,std_TN,nanmean_FP,std_FP,nanmean_FN,std_FN,nanmean_RT_TP,std_RT_TP,nanmean_xpos,std_xpos,nanmean_ypos,std_ypos,nanmean_perfGrp,std_perfGrp
1.0471975511966,1.4,1,6,2,18,0,107,1.4142135623731,1,0,0.538130357500449,0.0239532980752036,1,0,35,1.4142135623731,2,0,4,0,0.0614570920006372,0.0061947616905927,1,0,0.538130357500449,0.0239532980752036,4,0,1,0,0,0,0,0,0,0,0.538130357500449,0.0239532980752036,0.5,0,0.866025403784439,0,1,0
1.25663706143592,0.65,1,10,2,18,0,217.5,0.707106781186548,1,0,0.57586382449972,0.0267051865467822,1,0,1.5,0.707106781186548,3,0,4,0,0.133317340000758,0.0995294754227,1,0,0.57586382449972,0.0267051865467822,4,0,1,0,0,0,0,0,0,0,0.57586382449972,0.0267051865467822,0.309016994374947,0,0.951056516295154,0,1,0
1.25663706143592,0.65,3,10,1,18,0,286,0,1,0,0.505191513999307,0,1,0,70,0,3,0,4,0,0.0566779559994757,0,1,0,0.505191513999307,0,4,0,1,0,0,0,0,0,0,0,0.505191513999307,0,0.309016994374947,0,0.951056516295154,0,1,0
1.5707963267949,0.65,1,4,1,18,0,12,0,1,0,0.667125625001063,0,1,0,12,0,2,0,4,0,0.0638868269998056,0,1,0,0.667125625001063,0,4,0,1,0,0,0,0,0,0,0,0.667125625001063,0,6.12323399573677e-17,0,1,0,1,0
1.5707963267949,0.65,3,4,2,18,0,57,18.3847763108502,1,0,0.575504458999603,0.146787954466581,1,0,57,18.3847763108502,2,0,4,0,0.134255525001208,0.000434560957023355,1,0,0.575504458999603,0.146787954466581,4,0,1,0,0,0,0,0,0,0,0.575504458999603,0.146787954466581,6.12323399573677e-17,0,1,0,1,0
1.5707963267949,0.65,3,8,3,18,0,203,15.7162336455017,1,0,0.714300835334143,0.190804127115257,1,0,59,15.7162336455017,3,0,3.66666666666667,0.577350269189626,0.259559236000617,0.285717069789276,1,0,0.714300835334143,0.190804127115257,3.66666666666667,0.577350269189626,1,0,0,0,0,0,0,0,0.714300835334143,0.190804127115257,6.12323399573677e-17,0,1,0,1,0
1.5707963267949,1.4,1,4,2,18,0,28,4.24264068711928,1,0,0.473856965999403,0.000604457505393307,1,0,28,4.24264068711928,2,0,4,0,0.0574807595012317,8.68885746094974e-05,1,0,0.473856965999403,0.000604457505393307,4,0,1,0,0,0,0,0,0,0,0.473856965999403,0.000604457505393307,6.12323399573677e-17,0,1,0,1,0
1.88495559215388,0.65,1,10,1,18,0,228,0,1,0,0.691429365000658,0,1,0,12,0,4,0,4,0,0.270289439000408,0,1,0,0.691429365000658,0,4,0,1,0,0,0,0,0,0,0,0.691429365000658,0,-0.309016994374947,0,0.951056516295154,0,1,0
1.88495559215388,1.4,1,10,2,18,0,249,2.82842712474619,1,0,0.929518550500688,0.249047384616374,1,0,33,2.82842712474619,4,0,4,0,0.0628889175004588,0.00746320872617283,1,0,0.929518550500688,0.249047384616374,4,0,1,0,0,0,0,0,0,0,0.929518550500688,0.249047384616374,-0.309016994374947,0,0.951056516295154,0,1,0
2.0943951023932,0.65,1,6,4,18,0,79.75,7.32006375199925,1,0,0.545341553499384,0.134043099581279,1,0,7.75,7.32006375199925,3,0,4,0,0.163008664999325,0.206515239144488,1,0,0.545341553499384,0.134043099581279,4,0,1,0,0,0,0,0,0,0,0.545341553499384,0.134043099581279,-0.5,0,0.866025403784439,0,1,0
