Subject_code,foreperiod,predictability,difficulty,nanmean_RTCorrect
1,0.65,1,4,0.542332182244617
1,0.65,1,8,1.00288979040001
1,0.65,3,4,0.572012169708197
1,0.65,3,8,0.821497751578949
1,1.4,1,4,0.539051845688805
1,1.4,1,8,0.827433068139599
1,1.4,3,4,0.512709509695607
1,1.4,3,8,0.972331464318234
2,0.65,1,4,0.582133230021772
2,0.65,1,8,0.824823475386966
2,0.65,3,4,0.696124865499617
2,0.65,3,8,0.852763721882344
2,1.4,1,4,0.557205432173799
2,1.4,1,8,0.805828510058478
2,1.4,3,4,0.556638361826117
2,1.4,3,8,0.940327927845898
3,0.65,1,4,0.709311632152212
3,0.65,1,8,0.833739276484872
3,0.65,3,4,0.593967504809544
3,0.65,3,8,0.73822067366685
3,1.4,1,4,0.829774654521692
3,1.4,1,8,0.69366823900009
3,1.4,3,4,0.744536178708283
3,1.4,3,8,0.755169896214089
4,0.65,1,4,0.916978810652262
4,0.65,1,8,0.798389129739022
4,0.65,3,4,0.945084931043292
4,0.65,3,8,0.965997703454418
4,1.4,1,4,0.85184509804258
4,1.4,1,8,0.851444347930941
4,1.4,3,4,0.845400130913019
4,1.4,3,8,0.899630840999672
5,0.65,1,4,0.758181261291763
5,0.65,1,8,0.819707820764587
5,0.65,3,4,0.821118782833234
5,0.65,3,8,0.894572635555556
5,1.4,1,4,0.699561036666788
5,1.4,1,8,0.880623026275849
5,1.4,3,4,0.623217012833644
5,1.4,3,8,0.760442646071299
6,0.65,1,4,0.69742902413968
6,0.65,1,8,0.989475672181057
6,0.65,3,4,0.859689426136273
6,0.65,3,8,0.937296904333683
6,1.4,1,4,0.730069754116452
6,1.4,1,8,0.900356993791775
6,1.4,3,4,0.604931044956174
6,1.4,3,8,0.885719567215087
7,0.65,1,4,0.544168536587044
7,0.65,1,8,0.708175923111147
7,0.65,3,4,0.47605033904162
7,0.65,3,8,0.542645240176626
7,1.4,1,4,0.502691665127675
7,1.4,1,8,0.671727618230767
7,1.4,3,4,0.56697922458334
7,1.4,3,8,0.538109182235182
8,0.65,1,4,0.756489268812591
8,0.65,1,8,1.20623219508707
8,0.65,3,4,0.585989483791764
8,0.65,3,8,1.00935802964289
8,1.4,1,4,0.638065107958558
8,1.4,1,8,0.855800591908602
8,1.4,3,4,0.75312378912516
8,1.4,3,8,1.16888005288296
9,0.65,1,4,0.770377832739175
9,0.65,1,8,1.33973998920593
9,0.65,3,4,0.765197153478302
9,0.65,3,8,1.05247816035714
9,1.4,1,4,0.682928819214231
9,1.4,1,8,1.29493380641185
9,1.4,3,4,0.766250078349958
9,1.4,3,8,1.09700582293749
10,0.65,1,4,0.669155694276459
10,0.65,1,8,0.939818774579084
10,0.65,3,4,0.592473177636004
10,0.65,3,8,0.732574118625166
10,1.4,1,4,0.579855954616853
10,1.4,1,8,0.849796113743697
10,1.4,3,4,0.606155626868792
10,1.4,3,8,0.838196769764395
11,0.65,1,4,0.724250378266798
11,0.65,1,8,0.628800476689885
11,0.65,3,4,0.92962364312505
11,0.65,3,8,0.622812618642943
11,1.4,1,4,0.745281526844565
11,1.4,1,8,0.974233704839953
11,1.4,3,4,0.71326700252172
11,1.4,3,8,0.984531039083606
