Subject_code,difficulty,pos_rad,mean_TP
1,4,0,1
1,4,1.5707963267949,0.857142857142857
1,4,3.14159265358979,0.8
1,4,4.71238898038469,1
1,6,0,0.4
1,6,1.0471975511966,0.666666666666667
1,6,2.0943951023932,0.375
1,6,3.14159265358979,1
1,6,4.18879020478639,0.666666666666667
1,6,5.23598775598299,0.25
1,8,0,1
1,8,0.785398163397448,0
1,8,1.5707963267949,1
1,8,2.35619449019234,0
1,8,3.92699081698724,0.333333333333333
1,8,4.71238898038469,0.5
1,8,5.49778714378214,0.875
1,10,0,0
1,10,0.628318530717959,0
1,10,1.25663706143592,0.2
1,10,1.88495559215388,0.6
1,10,2.51327412287183,0.166666666666667
1,10,3.14159265358979,0.75
1,10,3.76991118430775,1
1,10,4.39822971502571,0.25
1,10,5.02654824574367,0.5
1,10,5.65486677646163,1
2,4,0,0.857142857142857
2,4,1.5707963267949,0.625
2,4,3.14159265358979,0.8
2,4,4.71238898038469,0.888888888888889
2,6,0,0.75
2,6,1.0471975511966,0.6
2,6,2.0943951023932,0
2,6,3.14159265358979,0.5
2,6,4.18879020478639,0.666666666666667
2,6,5.23598775598299,0.333333333333333
2,8,0,0.5
2,8,0.785398163397448,1
2,8,1.5707963267949,0.5
2,8,2.35619449019234,0.2
2,8,3.92699081698724,0.25
2,8,4.71238898038469,0
2,8,5.49778714378214,0
2,10,0,0.166666666666667
2,10,0.628318530717959,1
2,10,1.25663706143592,0.4
2,10,1.88495559215388,0.5
2,10,2.51327412287183,0.5
2,10,3.14159265358979,1
2,10,3.76991118430775,0
2,10,4.39822971502571,0
2,10,5.65486677646163,0
3,4,0,1
3,4,1.5707963267949,1
3,4,3.14159265358979,0.875
3,4,4.71238898038469,0.714285714285714
3,6,0,0.6
3,6,1.0471975511966,1
3,6,2.0943951023932,1
3,6,3.14159265358979,0.9
3,6,4.18879020478639,0.5
3,6,5.23598775598299,0.666666666666667
3,8,0,1
3,8,0.785398163397448,0.75
3,8,1.5707963267949,0.5
3,8,2.35619449019234,1
3,8,3.14159265358979,0.2
3,8,3.92699081698724,0.5
3,8,4.71238898038469,0.333333333333333
3,8,5.49778714378214,0
3,10,0,0.4
3,10,0.628318530717959,0.75
3,10,1.25663706143592,0.666666666666667
3,10,1.88495559215388,1
3,10,2.51327412287183,0.666666666666667
3,10,3.14159265358979,0
3,10,3.76991118430775,0.5
3,10,4.39822971502571,0.666666666666667
3,10,5.02654824574367,0
3,10,5.65486677646163,0.5
4,4,0,1
4,4,1.5707963267949,1
4,4,3.14159265358979,1
4,4,4.71238898038469,0.625
4,6,0,0.666666666666667
4,6,1.0471975511966,1
4,6,2.0943951023932,0.833333333333333
4,6,3.14159265358979,1
4,6,4.18879020478639,0.5
4,6,5.23598775598299,0.333333333333333
4,8,0,0.75
4,8,0.785398163397448,1
4,8,1.5707963267949,1
4,8,2.35619449019234,0
4,8,3.14159265358979,0.666666666666667
4,8,3.92699081698724,0.6
4,8,5.49778714378214,0.333333333333333
4,10,0,0.666666666666667
