Subject_code,pos_rad,difficulty,nanmean_RT_TP
1,0.392699082,8,0.648948266
1,0.785398163,4,0.511332537
1,1.178097245,8,0.990759799
1,1.963495408,8,0.852443533
1,2.35619449,4,0.57103089
1,2.748893572,8,0.831462559
1,3.534291735,8,0.95486411
1,3.926990817,4,0.544382922
1,4.319689899,8,1.0773159
1,5.105088062,8,1.049195356
1,5.497787144,4,0.539468767
1,5.890486225,8,0.86544389
2,0.392699082,8,0.746560174
2,0.785398163,4,0.609386629
2,1.178097245,8,0.751311562
2,1.963495408,8,0.80014614
2,2.35619449,4,0.546305156
2,2.748893572,8,0.890792579
2,3.534291735,8,0.738702393
2,3.926990817,4,0.578410235
2,4.319689899,8,1.001749462
2,5.105088062,8,0.803745053
2,5.497787144,4,0.623457226
2,5.890486225,8,1.031203927
3,0.392699082,8,0.764160543
3,0.785398163,4,0.741396698
3,1.178097245,8,0.735344901
3,1.963495408,8,0.640916015
3,2.35619449,4,0.85285987
3,2.748893572,8,0.803167456
3,3.534291735,8,0.512545976
3,3.926990817,4,0.690785269
3,4.319689899,8,1.42494799
3,5.105088062,8,1.597182961
3,5.497787144,4,0.661946538
3,5.890486225,8,0.573752175
4,0.392699082,8,0.665202957
4,0.785398163,4,0.770573087
4,1.178097245,8,0.846548064
4,1.963495408,8,0.773423506
4,2.35619449,4,1.051589325
4,2.748893572,8,1.018753301
4,3.534291735,8,0.753185704
4,3.926990817,4,0.756660324
4,4.319689899,8,0.735186657
4,5.105088062,8,1.055117794
4,5.497787144,4,0.978593651
4,5.890486225,8,1.077122684
5,0.392699082,8,0.677681486
5,0.785398163,4,0.794440659
5,1.178097245,8,0.794594185
5,1.963495408,8,0.774115083
5,2.35619449,4,0.657476492
5,2.748893572,8,0.899612358
5,3.534291735,8,0.905427521
5,3.926990817,4,0.721109275
5,4.319689899,8,1.163544011
5,5.105088062,8,0.979911312
5,5.497787144,4,0.733520502
5,5.890486225,8,0.875306984
6,0.392699082,8,1.073250124
6,0.785398163,4,0.719204544
6,1.178097245,8,1.041613078
6,1.963495408,8,0.892621327
6,2.35619449,4,0.654636364
6,2.748893572,8,0.587700117
6,3.534291735,8,0.68290562
6,3.926990817,4,0.688309809
6,4.319689899,8,1.378877947
6,5.105088062,8,0.839390175
6,5.497787144,4,0.834981381
6,5.890486225,8,1.151523676
7,0.392699082,8,0.734617416
7,0.785398163,4,0.469999547
7,1.178097245,8,0.632001645
7,1.963495408,8,0.671640511
7,2.35619449,4,0.529043141
7,2.748893572,8,0.493037313
7,3.534291735,8,0.655357073
7,3.926990817,4,0.516474651
7,4.319689899,8,0.497007953
7,5.105088062,8,0.671769348
7,5.497787144,4,0.57976807
7,5.890486225,8,0.716385688
8,0.392699082,8,1.065801728
8,0.785398163,4,0.622826551
8,1.178097245,8,0.802953983
8,1.963495408,8,0.631497158
8,2.35619449,4,0.696154712
8,2.748893572,8,1.20629379
8,3.534291735,8,1.63720973
8,3.926990817,4,0.792087197
8,4.319689899,8,0.88402467
8,5.105088062,8,1.162169306
8,5.497787144,4,0.641079558
8,5.890486225,8,1.27007918
9,0.392699082,8,0.892517451
9,0.785398163,4,0.639523242
9,1.178097245,8,0.816995331
9,1.963495408,8,0.843579853
9,2.35619449,4,0.661957836
9,2.748893572,8,1.495535668
9,3.534291735,8,1.434604913
9,3.926990817,4,0.89463277
9,4.319689899,8,1.998122241
9,5.105088062,8,1.822538155
9,5.497787144,4,0.796466048
9,5.890486225,8,1.442600425
10,0.392699082,8,0.681842193
10,0.785398163,4,0.675920875
10,1.178097245,8,0.719503046
10,1.963495408,8,1.056349256
10,2.35619449,4,0.581349626
10,2.748893572,8,1.040415596
10,3.534291735,8,1.043718856
10,3.926990817,4,0.6024316
10,4.319689899,8,0.979435693
10,5.105088062,8,0.794970527
10,5.497787144,4,0.60759669
10,5.890486225,8,0.744449875
11,0.392699082,8,0.687936166
11,0.785398163,4,0.802202199
11,1.178097245,8,0.66328595
11,1.963495408,8,0.706061052
11,2.35619449,4,0.645454149
11,2.748893572,8,0.66648408
11,3.534291735,8,0.848464966
11,3.926990817,4,0.874636136
11,4.319689899,8,0.650891051
11,5.105088062,8,0.680562068
11,5.497787144,4,0.736199259
11,5.890486225,8,1.429851853
