Subject_code,foreperiod,predictability,difficulty,nanmean_score,d_prime,perf_grp
1,0.65,1,4,0.714285714285714,0.918807740056007,1
1,0.65,1,6,0.428571428571429,-0.201044750550166,1
1,0.65,1,8,0.888888888888889,1.09466949920944,1
1,0.65,1,10,0.25,-0.900952557179025,1
1,0.65,3,4,0.75,1.05878930138178,1
1,0.65,3,6,0,-1.88082348645943,1
1,0.65,3,8,1,0.208087084280972,1
1,0.65,3,10,0.333333333333333,-0.574328914085558,1
1,1.4,1,4,1,2.03866023066218,1
1,1.4,1,6,0.5,0.0789183721013769,1
1,1.4,1,8,0.333333333333333,-0.574328914085558,1
1,1.4,1,10,0.538461538461538,0.229667745836823,1
1,1.4,3,4,1,2.03866023066218,1
1,1.4,3,6,0.8,1.25476348723786,1
1,1.4,3,8,0.666666666666667,0.732165658288311,1
1,1.4,3,10,0.666666666666667,-0.793311963696029,1
2,0.65,1,4,1,2.03866023066218,1
2,0.65,1,6,0.4,-0.313029999610784,1
2,0.65,1,8,0.333333333333333,-1.33706772507773,1
2,0.65,1,10,0.25,-0.900952557179025,1
2,0.65,3,4,0.714285714285714,1.38541294447525,1
2,0.65,3,6,0,-1.88082348645943,1
2,0.65,3,8,0.4,-0.313029999610784,1
2,0.65,3,10,0.166666666666667,-1.22757620027249,1
2,1.4,1,4,0.75,1.05878930138178,1
2,1.4,1,6,0.714285714285714,0.918807740056007,1
2,1.4,1,8,0.25,-1.35859584377433,1
2,1.4,1,10,0.416666666666667,-0.24770527099209,1
2,1.4,3,4,0.333333333333333,-0.574328914085558,1
2,1.4,3,6,0.5,0.0789183721013769,1
2,1.4,3,8,0.5,0.0789183721013769,1
2,1.4,3,10,0.25,-0.900952557179025,1
3,0.65,1,4,0.714285714285714,0.918807740056007,1
3,0.65,1,6,1,1.6572908251661,1
3,0.65,1,8,0.666666666666667,0.732165658288311,1
3,0.65,1,10,0.5,-1.29401148768453,1
3,0.65,3,4,0.666666666666667,0.732165658288311,1
3,0.65,3,6,0.4,-0.313029999610784,1
3,0.65,3,8,0.6,0.470866743813537,1
3,0.65,3,10,0.5,-1.44655924988296,1
3,1.4,1,4,1,2.03866023066218,1
3,1.4,1,6,0.833333333333333,0.622674133483076,1
3,1.4,1,8,0.5,-0.836368201089227,1
3,1.4,1,10,0.454545454545455,-0.753016102384452,1
3,1.4,3,4,1,2.03866023066218,1
3,1.4,3,6,0.857142857142857,-0.809482447617417,1
3,1.4,3,8,0.333333333333333,-0.574328914085558,1
3,1.4,3,10,0.8,0.110655270749604,1
4,0.65,1,4,0.916666666666667,1.71203658756871,1
4,0.65,1,6,0.875,1.54872476602198,1
4,0.65,1,8,0.714285714285714,0.0867290371554577,1
4,0.65,1,10,0.75,-1.9921659425869,1
4,0.65,3,4,1,2.03866023066218,1
4,0.65,3,6,0.8,-1.03345294573865,1
4,0.65,3,8,0.666666666666667,-0.0305731527038589,1
4,0.65,3,10,0.714285714285714,-1.3694086929205,1
4,1.4,1,4,0.666666666666667,0.316126306838037,1
4,1.4,1,6,0.714285714285714,1.38541294447525,1
4,1.4,1,8,0.615384615384615,-0.384120079882888,1
4,1.4,1,10,0.857142857142857,-1.01750212334255,1
4,1.4,3,4,1,2.03866023066218,1
4,1.4,3,6,0.666666666666667,-0.793311963696029,1
4,1.4,3,8,1,-0.707199488909632,1
4,1.4,3,10,0.75,-1.68707041819003,1
5,0.65,1,4,1,1.20658152776163,2
5,0.65,1,6,0.909090909090909,-0.932760965724627,2
5,0.65,1,8,0.8,-0.153369702286147,2
5,0.65,1,10,0.625,-3.09229245602084,2
5,0.65,3,4,1,2.03866023066218,2
5,0.65,3,6,0.5,-2.66694134747044,2
5,0.65,3,8,0.8,-1.03345294573865,2
5,0.65,3,10,0.25,-2.73152570356023,2
5,1.4,1,4,0.8,0.492024676245689,2
5,1.4,1,6,0.555555555555556,-1.22881015448732,2
5,1.4,1,8,1,-0.707199488909632,2
5,1.4,1,10,0.5,-2.20929806087513,2
5,1.4,3,4,0.833333333333333,1.38541294447525,2
5,1.4,3,6,0.25,-2.73152570356023,2
5,1.4,3,8,0.666666666666667,-0.793311963696029,2
5,1.4,3,10,0.666666666666667,-2.31878958568037,2
6,0.65,1,4,0.727272727272727,0.969710125992651,2
6,0.65,1,6,0.727272727272727,0.969710125992651,2
6,0.65,1,8,0.428571428571429,-0.201044750550166,2
6,0.65,1,10,0.333333333333333,-1.33706772507773,2
6,0.65,3,4,0.833333333333333,-0.140064677509094,2
6,0.65,3,6,1,2.03866023066218,2
6,0.65,3,8,0,-1.88082348645943,2
6,0.65,3,10,0.4,-2.60124643258729,2
6,1.4,1,4,0.714285714285714,0.918807740056007,2
6,1.4,1,6,0.625,0.568853836741578,2
6,1.4,1,8,0.444444444444444,-0.647323263955715,2
6,1.4,1,10,0.416666666666667,-1.77318289297643,2
6,1.4,3,4,0.666666666666667,0.732165658288311,2
6,1.4,3,6,0.25,-1.81623913036963,2
6,1.4,3,8,0.4,-1.45713821609904,2
6,1.4,3,10,0.666666666666667,-0.793311963696029,2
7,0.65,1,4,1,1.58101694406688,2
7,0.65,1,6,0.571428571428571,-0.0571578566973545,2
7,0.65,1,8,0.384615384615385,-1.28861632229557,2
7,0.65,1,10,0.444444444444444,-1.15581580461716,2
7,0.65,3,4,1,2.03866023066218,2
7,0.65,3,6,0.5,-0.574857751606197,2
7,0.65,3,8,0.2,-1.0969267430351,2
7,0.65,3,10,0.2,-1.0969267430351,2
7,1.4,1,4,1,2.03866023066218,2
7,1.4,1,6,0.666666666666667,-0.0305731527038589,2
7,1.4,1,8,0.714285714285714,0.502768388605732,2
7,1.4,1,10,0.307692307692308,-1.48961548727616,2
7,1.4,3,4,1,2.03866023066218,2
7,1.4,3,6,0.2,-1.0969267430351,2
7,1.4,3,8,0.5,0.0789183721013769,2
7,1.4,3,10,0.666666666666667,0.732165658288311,2
8,0.65,1,4,1,2.03866023066218,1
8,0.65,1,6,0.833333333333333,1.00404353897916,1
8,0.65,1,8,0.777777777777778,-1.37479885422763,1
8,0.65,1,10,0.888888888888889,1.09466949920944,1
8,0.65,3,4,1,2.03866023066218,1
8,0.65,3,6,0.833333333333333,1.38541294447525,1
8,0.65,3,8,0,-1.88082348645943,1
8,0.65,3,10,1,0.51318260867784,1
8,1.4,1,4,0.9,1.64671185895002,1
8,1.4,1,6,0.777777777777778,0.659171308418154,1
8,1.4,1,8,0.888888888888889,1.60316203987089,1
8,1.4,1,10,0.666666666666667,-1.30180450435748,1
8,1.4,3,4,1,2.03866023066218,1
8,1.4,3,6,1,2.03866023066218,1
8,1.4,3,8,1,2.03866023066218,1
8,1.4,3,10,1,2.03866023066218,1
9,0.65,1,4,0.888888888888889,1.60316203987089,2
9,0.65,1,6,0.666666666666667,0.223673117626864,2
9,0.65,1,8,0.454545454545455,-0.0992399786768779,2
9,0.65,1,10,0.454545454545455,-0.753016102384452,2
9,0.65,3,4,0.714285714285714,0.918807740056007,2
9,0.65,3,6,1,1.38488410695461,2
9,0.65,3,8,0.5,-1.75165477427983,2
9,0.65,3,10,0.4,-2.60124643258729,2
9,1.4,1,4,0.875,1.09108147942668,2
9,1.4,1,6,0.444444444444444,-0.138830723294268,2
9,1.4,1,8,0.444444444444444,-0.647323263955715,2
9,1.4,1,10,0.545454545454545,-1.05047552453552,2
9,1.4,3,4,1,2.03866023066218,2
9,1.4,3,6,0.4,-1.45713821609904,2
9,1.4,3,8,0.6,0.470866743813537,2
9,1.4,3,10,0.4,-1.45713821609904,2
10,0.65,1,4,1,1.58101694406688,1
