Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_RT_TP
1,0,0.65,1,4,0.594112930999472
1,0,0.65,1,6,NaN
1,0,0.65,1,8,1.07774448199962
1,0,0.65,1,10,NaN
1,0,0.65,3,8,0.696600011250212
1,0,1.4,1,4,0.458380887999738
1,0,1.4,1,6,1.60029114500048
1,0,1.4,3,4,0.409843412499868
1,0,1.4,3,6,0.89994113099965
1,0,1.4,3,8,2.23884508500032
1,0.628318530717959,1.4,1,10,NaN
1,0.785398163397448,1.4,1,8,NaN
1,1.0471975511966,0.65,1,6,0.407342937000067
1,1.0471975511966,1.4,1,6,1.3190838190003
1,1.25663706143592,0.65,1,10,NaN
1,1.25663706143592,0.65,3,10,NaN
1,1.25663706143592,1.4,3,10,2.77106187400022
1,1.5707963267949,0.65,1,4,NaN
1,1.5707963267949,0.65,1,8,0.651602086500134
1,1.5707963267949,0.65,3,4,0.458460377999472
1,1.5707963267949,1.4,1,4,0.556895175333314
1,1.5707963267949,1.4,3,4,0.615748828000505
1,1.88495559215388,1.4,1,10,1.59559876500043
1,1.88495559215388,1.4,3,10,0.491639649000717
1,2.0943951023932,0.65,1,6,NaN
1,2.0943951023932,0.65,3,6,NaN
1,2.0943951023932,1.4,1,6,1.17314711600011
1,2.0943951023932,1.4,3,6,0.768404135499622
1,2.35619449019234,1.4,1,8,NaN
1,2.51327412287183,0.65,1,10,NaN
1,2.51327412287183,0.65,3,10,NaN
1,2.51327412287183,1.4,1,10,2.08802598399961
1,3.14159265358979,0.65,1,4,0.569124618000084
1,3.14159265358979,0.65,1,10,0.409522382000432
1,3.14159265358979,0.65,3,4,0.464688991000003
1,3.14159265358979,0.65,3,10,0.634444629999052
1,3.14159265358979,1.4,1,4,0.514854484666406
1,3.14159265358979,1.4,1,6,0.998531723500491
1,3.14159265358979,1.4,3,4,0.577248941999642
1,3.14159265358979,1.4,3,10,0.425063908000084
1,3.76991118430775,1.4,1,10,0.605008163000548
1,3.92699081698724,0.65,1,8,NaN
1,3.92699081698724,1.4,1,8,0.487187301001541
1,3.92699081698724,1.4,3,8,NaN
1,4.18879020478639,0.65,1,6,0.49322949100042
1,4.18879020478639,1.4,1,6,NaN
1,4.18879020478639,1.4,3,6,0.767303515998719
1,4.39822971502571,0.65,1,10,NaN
1,4.39822971502571,1.4,1,10,NaN
1,4.39822971502571,1.4,3,10,2.72051078899858
1,4.71238898038469,0.65,1,4,0.411852876000921
1,4.71238898038469,0.65,1,8,1.23691829500058
1,4.71238898038469,1.4,1,8,NaN
1,4.71238898038469,1.4,3,4,0.416978150000432
1,4.71238898038469,1.4,3,8,1.28881127400018
1,5.02654824574367,0.65,1,10,0.471621671998946
1,5.02654824574367,1.4,3,10,NaN
1,5.23598775598299,0.65,1,6,1.28304930400009
1,5.23598775598299,0.65,3,6,NaN
1,5.49778714378214,0.65,1,8,0.745413365500099
1,5.49778714378214,1.4,1,8,0.316219659000126
1,5.49778714378214,1.4,3,8,0.58327694899981
1,5.65486677646163,0.65,3,10,0.519687494000209
1,5.65486677646163,1.4,1,10,0.400151570999697
2,0,0.65,1,4,0.405407048332563
2,0,0.65,1,6,0.587007112999345
2,0,0.65,3,4,3.51099510800123
2,0,0.65,3,10,1.16376850699999
2,0,1.4,1,4,0.880988519000311
2,0,1.4,1,8,1.88035784900057
2,0,1.4,1,10,NaN
2,0,1.4,3,4,0.568737105999389
2,0,1.4,3,6,0.682985503000054
2,0,1.4,3,10,NaN
2,0.628318530717959,1.4,1,10,0.90189756899963
2,0.785398163397448,0.65,1,8,0.745895795000251
2,0.785398163397448,1.4,3,8,0.42885822199969
2,1.0471975511966,0.65,1,6,0.896606490499835
2,1.0471975511966,1.4,1,6,0.720896454000467
2,1.25663706143592,0.65,1,10,0.542519310998614
2,1.25663706143592,0.65,3,10,NaN
2,1.25663706143592,1.4,1,10,0.732224564999342
2,1.5707963267949,0.65,1,4,0.826398139999583
2,1.5707963267949,0.65,3,4,0.720462648499961
2,1.5707963267949,0.65,3,8,0.489037925000957
2,1.5707963267949,1.4,1,4,1.12437351049994
2,1.5707963267949,1.4,1,8,0.833743335999316
2,1.5707963267949,1.4,3,4,NaN
2,1.5707963267949,1.4,3,8,NaN
2,1.88495559215388,0.65,1,10,NaN
2,1.88495559215388,0.65,3,10,NaN
2,1.88495559215388,1.4,1,10,0.740016478999678
2,1.88495559215388,1.4,3,10,0.661250344999644
2,2.0943951023932,0.65,1,6,NaN
2,2.0943951023932,0.65,3,6,NaN
2,2.35619449019234,0.65,3,8,0.49156345099982
2,2.35619449019234,1.4,1,8,NaN
2,2.51327412287183,0.65,1,10,NaN
2,2.51327412287183,1.4,1,10,0.73532517700005
2,3.14159265358979,0.65,1,4,0.632083296999554
2,3.14159265358979,0.65,1,6,0.746129687999201
2,3.14159265358979,0.65,1,10,0.704892113999449
2,3.14159265358979,0.65,3,4,0.524373787000513
2,3.14159265358979,1.4,1,4,0.745286823000242
2,3.14159265358979,1.4,1,6,0.576924344000872
2,3.14159265358979,1.4,1,10,0.688340602000608
2,3.14159265358979,1.4,3,6,NaN
2,3.76991118430775,0.65,1,10,NaN
2,3.76991118430775,1.4,1,10,NaN
2,3.76991118430775,1.4,3,10,NaN
2,3.92699081698724,0.65,1,8,0.572528017999502
2,3.92699081698724,1.4,1,8,NaN
2,4.18879020478639,0.65,1,6,NaN
2,4.18879020478639,1.4,1,6,0.50489107049907
2,4.39822971502571,0.65,1,10,NaN
2,4.39822971502571,0.65,3,10,NaN
2,4.39822971502571,1.4,1,10,NaN
2,4.71238898038469,0.65,1,4,0.84306549683303
2,4.71238898038469,0.65,1,8,NaN
2,4.71238898038469,0.65,3,4,0.805183325001053
2,4.71238898038469,1.4,1,4,0.717961694999758
2,4.71238898038469,1.4,1,8,NaN
2,5.23598775598299,0.65,1,6,NaN
2,5.23598775598299,1.4,1,6,1.95581935399969
2,5.23598775598299,1.4,3,6,0.906473851999181
2,5.49778714378214,0.65,3,8,NaN
2,5.65486677646163,1.4,1,10,NaN
2,5.65486677646163,1.4,3,10,NaN
3,0,0.65,1,4,0.658533992002049
3,0,0.65,1,6,0.655066692999753
3,0,0.65,1,8,1.89021444699756
3,0,0.65,1,10,1.49241809399973
3,0,0.65,3,6,NaN
3,0,0.65,3,8,2.35671895600171
3,0,0.65,3,10,NaN
3,0,1.4,1,4,0.603080674250123
3,0,1.4,1,6,0.480227356998512
3,0,1.4,1,8,1.05896247000055
3,0,1.4,3,4,1.1152642800007
3,0,1.4,3,10,1.27166297000076
3,0.628318530717959,1.4,3,10,1.19643792033457
3,0.785398163397448,0.65,1,8,1.04815334150044
3,0.785398163397448,0.65,3,8,NaN
3,0.785398163397448,1.4,1,8,1.43875263600057
3,1.0471975511966,1.4,1,6,0.496945982999023
3,1.0471975511966,1.4,3,6,0.540817571500156
3,1.25663706143592,0.65,3,10,0.618517849001364
3,1.25663706143592,1.4,1,10,0.921508387997164
3,1.5707963267949,0.65,1,4,0.838660888999584
3,1.5707963267949,0.65,1,8,0.609342359999573
3,1.5707963267949,0.65,3,4,0.331496816001163
3,1.5707963267949,1.4,1,4,0.60731744900113
3,1.5707963267949,1.4,1,8,NaN
3,1.5707963267949,1.4,3,4,0.520499448997725
3,1.88495559215388,1.4,1,10,1.71544679100043
3,2.0943951023932,1.4,1,6,0.789360273333538
3,2.0943951023932,1.4,3,6,0.645402975998877
3,2.35619449019234,0.65,1,8,0.851489030002995
3,2.35619449019234,0.65,3,8,0.556988292999449
3,2.35619449019234,1.4,1,8,1.06626858400159
3,2.51327412287183,0.65,1,10,0.633994928000902
3,2.51327412287183,1.4,1,10,0.868215491998853
3,3.14159265358979,0.65,1,4,0.678828737001822
3,3.14159265358979,0.65,1,6,0.666852232333137
3,3.14159265358979,0.65,1,8,NaN
3,3.14159265358979,0.65,3,4,0.578330096999707
3,3.14159265358979,0.65,3,6,0.843602562499655
