Subject_code,foreperiod,predictability,difficulty,IES
1,0.65,1,4,0.578487661060925
1,0.65,1,8,1.20346774848002
1,0.65,3,4,0.572012169708197
1,0.65,3,8,1.03768137041552
1,1.4,1,4,0.574988635401392
1,1.4,1,8,0.923646215597692
1,1.4,3,4,0.53500122750846
1,1.4,3,8,1.06072523380171
2,0.65,1,4,0.607443370457501
2,0.65,1,8,1.27714602640563
2,0.65,3,4,0.696124865499617
2,0.65,3,8,1.20390172501037
2,1.4,1,4,0.58143175531179
2,1.4,1,8,1.13764024949432
2,1.4,3,4,0.5808400297316
2,1.4,3,8,1.73599002063858
3,0.65,1,4,0.740151268332743
3,0.65,1,8,1.21271167488709
3,0.65,3,4,0.678820005496621
3,0.65,3,8,1.9685884631116
3,1.4,1,4,0.865851813413939
3,1.4,1,8,1.28061828738478
3,1.4,3,4,0.744536178708283
3,1.4,3,8,1.29457696493844
4,0.65,1,4,0.956847454593665
4,0.65,1,8,1.66620340119448
4,0.65,3,4,0.986175580219087
4,0.65,3,8,2.10763135299146
4,1.4,1,4,0.86996946183072
4,1.4,1,8,1.40928719657535
4,1.4,3,4,0.88215665834402
4,1.4,3,8,1.43940934559948
5,0.65,1,4,0.758181261291763
5,0.65,1,8,1.15723457049118
5,0.65,3,4,0.821118782833234
5,0.65,3,8,1.19276351407407
5,1.4,1,4,0.699561036666788
5,1.4,1,8,1.45758294004278
5,1.4,3,4,0.623217012833644
5,1.4,3,8,1.30361596469366
6,0.65,1,4,0.778525422295457
6,0.65,1,8,2.1588560120314
6,0.65,3,4,0.93784301033048
6,0.65,3,8,3.74918761733473
6,1.4,1,4,0.814961585990458
6,1.4,1,8,1.80071398758355
6,1.4,3,4,0.631232394736878
6,1.4,3,8,1.51837640094015
7,0.65,1,4,0.567828038177785
7,0.65,1,8,0.944234564148196
7,0.65,3,4,0.47605033904162
7,0.65,3,8,0.766087397896412
7,1.4,1,4,0.513387232470817
7,1.4,1,8,0.826741683976329
7,1.4,3,4,0.56697922458334
7,1.4,3,8,0.759683551390846
8,0.65,1,4,0.756489268812591
8,0.65,1,8,2.51735414626866
8,0.65,3,4,0.585989483791764
8,0.65,3,8,1.73032805081638
8,1.4,1,4,0.638065107958558
8,1.4,1,8,1.24480086095797
8,1.4,3,4,0.75312378912516
8,1.4,3,8,1.65018360407005
9,0.65,1,4,0.80387252111914
9,0.65,1,8,1.89139763182014
9,0.65,3,4,0.79846659493388
9,0.65,3,8,1.80424827489795
9,1.4,1,4,0.780490079101979
9,1.4,1,8,1.82814184434614
9,1.4,3,4,0.91950009401995
9,1.4,3,8,1.64550873440623
10,0.65,1,4,0.683393049473831
10,0.65,1,8,1.18713950473148
10,0.65,3,4,0.646334375602913
10,0.65,3,8,1.09886117793775
10,1.4,1,4,0.592193315353382
10,1.4,1,8,1.04590290922301
10,1.4,3,4,0.632510219341348
10,1.4,3,8,1.18333661613797
11,0.65,1,4,0.772533736817918
11,0.65,1,8,1.04077320279705
11,0.65,3,4,0.92962364312505
11,0.65,3,8,1.06767877481647
11,1.4,1,4,0.794966961967536
11,1.4,1,8,1.87052871329271
11,1.4,3,4,0.744278611327013
11,1.4,3,8,1.96906207816721
