Subject_code,foreperiod,predictability,difficulty,nanmean_RTCorrect
12,0.65,3,6,1.22805434566665
12,0.65,3,8,1.58248189574988
12,0.65,3,10,0.910771875306757
12,1.4,1,4,0.910430870714338
12,1.4,1,6,1.19682746775004
12,1.4,1,8,1.06085643200013
12,1.4,1,10,1.06393821683328
12,1.4,3,4,1.23375555475013
12,1.4,3,6,0.796076446250026
12,1.4,3,8,0.822966658999576
12,1.4,3,10,1.05154229399996
13,0.65,1,4,0.802613052000015
13,0.65,1,6,0.795015899285967
13,0.65,1,8,0.895942108111235
13,0.65,1,10,0.648631904000467
13,0.65,3,4,1.11091848999968
13,0.65,3,6,0.794127234500593
13,0.65,3,8,0.961751995000213
13,0.65,3,10,1.21068843900002
13,1.4,1,4,0.685032346750177
13,1.4,1,6,0.626854192999417
13,1.4,1,8,1.0790435404997
13,1.4,1,10,1.06793170928514
13,1.4,3,4,0.718944470000073
13,1.4,3,6,0.7758160352505
13,1.4,3,8,1.32984673999999
13,1.4,3,10,1.03053973399983
14,0.65,1,4,0.719619068571482
14,0.65,1,6,1.03176050924998
14,0.65,1,8,1.45764307485716
14,0.65,1,10,0.761508759999924
14,0.65,3,4,0.61619842149986
14,0.65,3,6,0.811900678199981
14,0.65,3,8,0.704216541599999
14,0.65,3,10,0.954997861400125
14,1.4,1,4,0.601530460000024
14,1.4,1,6,0.890313111285682
14,1.4,1,8,1.45843710277786
14,1.4,1,10,0.973825555250045
14,1.4,3,4,0.454183419400079
14,1.4,3,6,0.613334667333675
14,1.4,3,8,1.19942959225
14,1.4,3,10,1.10994919633329
15,0.65,1,4,0.632132475000162
15,0.65,1,6,0.707590268249533
15,0.65,1,8,0.5388355567502
15,0.65,1,10,0.432921593999708
15,0.65,3,4,0.476966714666863
15,0.65,3,6,0.624032607332992
15,0.65,3,8,0.849211282999022
15,0.65,3,10,0.516746944500028
15,1.4,1,4,0.492148865908761
15,1.4,1,6,0.56110106671414
15,1.4,1,8,1.09792951528626
15,1.4,1,10,0.999781597600304
15,1.4,3,4,0.692666782400192
15,1.4,3,6,0.779112245333332
15,1.4,3,8,0.530721515666907
15,1.4,3,10,0.703096683249896
16,0.65,1,4,0.584949991714633
16,0.65,1,6,0.732487729500463
16,0.65,1,8,0.834927875443504
16,0.65,1,10,0.889389407666386
16,0.65,3,4,0.707475683500888
16,0.65,3,6,0.844052656999944
16,0.65,3,8,0.762501077249908
16,0.65,3,10,0.90018734475143
16,1.4,1,4,0.728911327899186
16,1.4,1,6,1.11530178560133
16,1.4,1,8,0.757062137000113
16,1.4,1,10,0.685848012167601
16,1.4,3,4,0.601313460833505
16,1.4,3,6,0.802629257499575
16,1.4,3,8,0.682980756999314
16,1.4,3,10,0.559337901200342
17,0.65,1,4,0.719374341222243
17,0.65,1,6,0.94607076116669
17,0.65,1,8,0.871384889000031
17,0.65,1,10,0.644032243666667
17,0.65,3,4,1.24485940100067
17,0.65,3,6,0.976820038499682
17,0.65,3,8,0.60650957833362
17,0.65,3,10,1.64563439599988
17,1.4,1,4,0.708552349111212
17,1.4,1,6,0.918791025624841
17,1.4,1,8,1.08348275380013
17,1.4,1,10,1.04728645685704
17,1.4,3,4,0.868493491250092
17,1.4,3,6,0.785722803749991
17,1.4,3,8,0.793354792000173
17,1.4,3,10,0.627784271499877
18,0.65,1,4,0.619444736999867
18,0.65,1,6,0.624652163799874
18,0.65,1,8,0.47276309000002
18,0.65,1,10,0.614385671333366
18,0.65,3,4,0.759186022999984
18,0.65,3,6,0.473911441999614
18,0.65,3,8,0.743722536000556
18,0.65,3,10,0.630906561499614
18,1.4,1,4,0.467005374545393
18,1.4,1,6,0.623762822363708
18,1.4,1,8,0.717088363000281
18,1.4,1,10,0.831509176400505
18,1.4,3,4,0.460144035749636
18,1.4,3,6,0.434248774499792
18,1.4,3,8,0.634348479499749
18,1.4,3,10,0.472000618001402
