pos_rad,foreperiod,predictability,difficulty,GroupCount,nanmean_Subject_code,std_Subject_code,nanmean_trial_code,std_trial_code,nanmean_response,std_response,nanmean_reaction_time,std_reaction_time,nanmean_correct_response,std_correct_response,nanmean_stimulus,std_stimulus,nanmean_question,std_question,nanmean_confidence,std_confidence,nanmean_confidence_RT,std_confidence_RT,nanmean_Quad,std_Quad,nanmean_score,std_score,nanmean_RTCorrect,std_RTCorrect,nanmean_ConfCorrect,std_ConfCorrect,nanmean_TP,std_TP,nanmean_TN,std_TN,nanmean_FP,std_FP,nanmean_FN,std_FN,nanmean_RT_TP,std_RT_TP,nanmean_xpos,std_xpos,nanmean_ypos,std_ypos,nanmean_perfGrp,std_perfGrp
0.392699081698724,0.65,1,8,6,11,0,195.5,1.87082869338697,1.33333333333333,0.516397779494322,1.05541275433347,1.12804863075517,1,0,195.5,1.87082869338697,1,0,3.33333333333333,1.211060141639,0.518840828500212,0.343498997104877,1,0,0.666666666666667,0.516397779494322,0.523286531249937,0.128512411505086,4,0,0.666666666666667,0.516397779494322,0,0,0,0,0.333333333333333,0.516397779494322,0.523286531249937,0.128512411505086,0.923879532511287,1.21618838889762e-16,0.38268343236509,0,2,0
0.392699081698724,0.65,3,8,4,11,0,411,221.714531173158,1.25,0.5,0.529539245249907,0.322083086115656,1,0,219,2.3094010767585,1,0,3.75,0.5,0.489970869999979,0.206033318116765,1,0,0.75,0.5,0.368502609999875,0.0030796406877485,4,0,0.75,0.5,0,0,0,0,0.25,0.5,0.368502609999875,0.0030796406877485,0.923879532511287,0,0.38268343236509,0,2,0
0.392699081698724,1.4,1,8,6,11,0,579.5,1.87082869338697,1.16666666666667,0.408248290463863,0.949150270333272,0.642614894470568,1,0,195.5,1.87082869338697,1,0,3.66666666666667,0.816496580927726,0.362315647499789,0.199527292345871,1,0,0.833333333333333,0.408248290463863,0.97831611799993,0.71401157428883,3.6,0.894427190999916,0.833333333333333,0.408248290463863,0,0,0,0,0.166666666666667,0.408248290463863,0.97831611799993,0.71401157428883,0.923879532511287,1.21618838889762e-16,0.38268343236509,0,2,0
0.392699081698724,1.4,3,8,2,11,0,412,271.529003975634,1,0,0.770435891500028,0.287457163342211,1,0,220,0,1,0,4,0,0.336989091500186,0.237869149292942,1,0,1,0,0.770435891500028,0.287457163342211,4,0,1,0,0,0,0,0,0,0,0.770435891500028,0.287457163342211,0.923879532511287,0,0.38268343236509,0,2,0
0.785398163397448,0.65,1,4,12,11,0,6.5,3.60555127546399,1.08333333333333,0.288675134594813,0.76830144583342,0.266601465648419,1,0,6.5,3.60555127546399,1,0,4,0,0.294561518083356,0.185080605374701,1,0,0.916666666666667,0.288675134594813,0.728553515181912,0.23943542376235,4,0,0.916666666666667,0.288675134594813,0,0,0,0,0.0833333333333333,0.288675134594813,0.728553515181912,0.23943542376235,0.707106781186548,2.31918026057751e-16,0.707106781186548,1.15959013028875e-16,2,0
0.785398163397448,0.65,3,4,6,11,0,221,210.355888912101,1,0,0.698093537000318,0.364495214798626,1,0,29,3.57770876399966,1,0,4,0,0.518460666166561,0.673066222287983,1,0,1,0,0.698093537000318,0.364495214798626,4,0,1,0,0,0,0,0,0,0,0.698093537000318,0.364495214798626,0.707106781186548,0,0.707106781186547,0,2,0
0.785398163397448,1.4,1,4,12,11,0,390.5,3.60555127546399,1.08333333333333,0.288675134594813,1.10598973666678,0.525233414563661,1,0,6.5,3.60555127546399,1,0,3.75,0.866025403784439,0.524108496250089,0.427027317803428,1,0,0.916666666666667,0.288675134594813,1.01926393054555,0.451857422032923,4,0,0.916666666666667,0.288675134594813,0,0,0,0,0.0833333333333333,0.288675134594813,1.01926393054555,0.451857422032923,0.707106781186548,2.31918026057751e-16,0.707106781186548,1.15959013028875e-16,2,0
0.785398163397448,1.4,3,4,6,11,0,224,210.355888912101,1.16666666666667,0.408248290463863,0.745341906666605,0.354356883458112,1,0,32,3.57770876399966,1,0,4,0,0.462547651166839,0.414792799079304,1,0,0.833333333333333,0.408248290463863,0.611623887599853,0.151185933188774,4,0,0.833333333333333,0.408248290463863,0,0,0,0,0.166666666666667,0.408248290463863,0.611623887599853,0.151185933188774,0.707106781186548,0,0.707106781186547,0,2,0
1.17809724509617,0.65,1,8,6,11,0,201.5,1.87082869338697,1.5,0.547722557505166,1.14783432783353,0.771790261180009,1,0,201.5,1.87082869338697,2,0,3.66666666666667,0.816496580927726,0.359601409166695,0.245503457334861,1,0,0.5,0.547722557505166,0.509895585000322,0.0648787880731045,4,0,0.5,0.547722557505166,0,0,0,0,0.5,0.547722557505166,0.509895585000322,0.0648787880731045,0.38268343236509,0,0.923879532511287,1.21618838889762e-16,2,0
1.17809724509617,0.65,3,8,2,11,0,417,271.529003975634,1,0,0.579502768000566,0.155414299401036,1,0,225,0,2,0,4,0,0.344162719500218,0.227614613212084,1,0,1,0,0.579502768000566,0.155414299401036,4,0,1,0,0,0,0,0,0,0,0.579502768000566,0.155414299401036,0.38268343236509,0,0.923879532511287,0,2,0
1.17809724509617,1.4,1,8,6,11,0,585.5,1.87082869338697,1.5,0.547722557505166,0.941715989999845,0.430337431171379,1,0,201.5,1.87082869338697,2,0,3.66666666666667,0.816496580927726,0.414404315166697,0.38035670022406,1,0,0.5,0.547722557505166,0.872531769666618,0.264573904167072,4,0,0.5,0.547722557505166,0,0,0,0,0.5,0.547722557505166,0.872531769666618,0.264573904167072,0.38268343236509,0,0.923879532511287,1.21618838889762e-16,2,0
