Subject_code,code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
10,255,0.65,1,8,2,0.609226391999982,2,255,10,2,0.288380253998184,2,1,0.609226391999982,2,0,1,0,0,NaN,NaN,NaN,2
10,6,0.65,1,4,1,1.02988081500007,1,6,1,4,0.355467938999936,1,1,1.02988081500007,4,1,0,0,0,1.02988081500007,0.707106781186548,0.707106781186547,2
10,177,0.65,3,4,1,0.410746921999817,1,177,4,3,0.661796585998673,4,1,0.410746921999817,3,1,0,0,0,0.410746921999817,0.707106781186547,-0.707106781186548,2
10,160,0.65,1,4,2,0.704565726002329,2,160,6,4,0.181687131000217,4,1,0.704565726002329,4,0,1,0,0,NaN,NaN,NaN,2
10,307,0.65,1,8,2,1.11424099999931,2,307,12,2,0.296398744998442,3,1,1.11424099999931,2,0,1,0,0,NaN,NaN,NaN,2
10,242,0.65,1,8,1,0.715176809000695,1,242,3,4,0.179574436999246,2,1,0.715176809000695,4,1,0,0,0,0.715176809000695,-0.38268343236509,0.923879532511287,2
10,65,0.65,1,4,2,0.484845374998258,2,65,8,4,0.194865151999693,2,1,0.484845374998258,4,0,1,0,0,NaN,NaN,NaN,2
10,81,0.65,3,4,2,1.01340222299768,1,81,2,4,0.177676841998618,2,0,NaN,NaN,0,0,0,1,NaN,-0.707106781186547,0.707106781186548,2
10,194,0.65,1,8,1,0.616906450002716,1,194,1,4,0.180317438000202,1,1,0.616906450002716,4,1,0,0,0,0.616906450002716,0.923879532511287,0.38268343236509,2
10,129,0.65,3,4,1,0.620499799002573,1,129,3,4,0.355353713999648,3,1,0.620499799002573,4,1,0,0,0,0.620499799002573,-0.707106781186548,-0.707106781186547,2
10,73,0.65,3,4,1,0.513912783000706,1,73,2,4,0.190508349998709,2,1,0.513912783000706,4,1,0,0,0,0.513912783000706,-0.707106781186547,0.707106781186548,2
10,77,0.65,3,4,1,0.316142609997769,1,77,2,4,0.182134206999763,2,1,0.316142609997769,4,1,0,0,0,0.316142609997769,-0.707106781186547,0.707106781186548,2
10,357,0.65,1,8,2,0.577670210001088,2,357,12,2,0.473950871000852,4,1,0.577670210001088,2,0,1,0,0,NaN,NaN,NaN,2
10,71,0.65,1,4,2,0.600976187000924,2,71,5,4,0.555813773997215,2,1,0.600976187000924,4,0,1,0,0,NaN,NaN,NaN,2
10,355,0.65,1,8,1,0.520193186002871,2,355,9,3,0.683885219998047,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,233,0.65,3,8,2,2.44463167099821,2,233,13,2,0.272198077997018,1,1,2.44463167099821,2,0,1,0,0,NaN,NaN,NaN,2
10,353,0.65,1,8,2,2.35465972200109,2,353,10,1,0.440137180001329,4,1,2.35465972200109,1,0,1,0,0,NaN,NaN,NaN,2
10,213,0.65,1,8,2,0.910299205999763,2,213,14,3,0.509943102999387,1,1,0.910299205999763,3,0,1,0,0,NaN,NaN,NaN,2
10,220,1.4,3,8,2,1.83527060800043,1,220,1,2,0.111095781001495,1,0,NaN,NaN,0,0,0,1,NaN,0.923879532511287,0.38268343236509,2
10,161,0.65,1,4,2,0.499011395997513,2,161,8,4,0.190230625998083,4,1,0.499011395997513,4,0,1,0,0,NaN,NaN,NaN,2
10,102,0.65,1,4,1,0.931066575001751,1,102,3,4,0.178171981002379,3,1,0.931066575001751,4,1,0,0,0,0.931066575001751,-0.707106781186548,-0.707106781186547,2
10,268,1.4,3,8,1,0.922300820999226,1,268,3,4,0.345761833003053,2,1,0.922300820999226,4,1,0,0,0,0.922300820999226,-0.38268343236509,0.923879532511287,2
10,236,1.4,3,8,1,2.98186678399725,2,236,11,3,0.51702183100133,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,40,1.4,3,4,2,0.707574592001038,2,40,7,4,0.352153746996919,1,1,0.707574592001038,4,0,1,0,0,NaN,NaN,NaN,2
10,166,0.65,1,4,1,1.33791141600159,2,166,5,3,0.489756580998801,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,2,0.65,1,4,1,0.515738123001938,1,2,1,4,0.183151821998763,1,1,0.515738123001938,4,1,0,0,0,0.515738123001938,0.707106781186548,0.707106781186547,2
10,349,0.65,1,8,1,1.85406900800081,2,349,9,2,0.291794479002419,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,106,0.65,1,4,1,0.415897193001001,1,106,3,4,0.180278932002693,3,1,0.415897193001001,4,1,0,0,0,0.415897193001001,-0.707106781186548,-0.707106781186547,2
10,133,0.65,3,4,2,0.604069094002625,2,133,5,4,0.197854980000557,3,1,0.604069094002625,4,0,1,0,0,NaN,NaN,NaN,2
10,352,0.65,1,8,1,1.33316407199891,2,352,14,1,0.273448871001165,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,13,0.65,1,4,2,0.903986506000365,2,13,8,1,0.269791544000327,1,1,0.903986506000365,1,0,1,0,0,NaN,NaN,NaN,2
10,58,0.65,1,4,1,1.13927331699961,1,58,2,4,0.690668536000885,2,1,1.13927331699961,4,1,0,0,0,1.13927331699961,-0.707106781186547,0.707106781186548,2
10,113,0.65,1,4,2,0.604299307000474,2,113,5,4,0.195992295000906,3,1,0.604299307000474,4,0,1,0,0,NaN,NaN,NaN,2
10,201,0.65,1,8,1,0.61577578500146,1,201,2,4,0.179434161000245,1,1,0.61577578500146,4,1,0,0,0,0.61577578500146,0.38268343236509,0.923879532511287,2
10,162,0.65,1,4,2,0.501658797998971,2,162,6,4,0.203377199999522,4,1,0.501658797998971,4,0,1,0,0,NaN,NaN,NaN,2
10,224,1.4,3,8,1,0.722350132000429,1,224,2,4,0.35406484899795,1,1,0.722350132000429,4,1,0,0,0,0.722350132000429,0.38268343236509,0.923879532511287,2
10,117,0.65,1,4,2,0.602381885000796,2,117,5,4,0.20053445299709,3,1,0.602381885000796,4,0,1,0,0,NaN,NaN,NaN,2
10,203,0.65,1,8,1,0.620850145998702,1,203,2,4,0.18024596900068,1,1,0.620850145998702,4,1,0,0,0,0.620850145998702,0.38268343236509,0.923879532511287,2
10,308,0.65,1,8,2,1.31898055000056,2,308,13,2,0.121251405998919,3,1,1.31898055000056,2,0,1,0,0,NaN,NaN,NaN,2
10,114,0.65,1,4,2,0.488233346000925,2,114,6,4,0.195948644999589,3,1,0.488233346000925,4,0,1,0,0,NaN,NaN,NaN,2
10,329,0.65,3,8,1,1.23512608499732,2,329,14,2,0.298155571003008,3,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,176,1.4,3,4,1,0.414722577999783,1,176,4,4,0.182001288001629,4,1,0.414722577999783,4,1,0,0,0,0.414722577999783,0.707106781186547,-0.707106781186548,2
10,293,0.65,1,8,1,0.659217686999909,1,293,5,4,0.19172847200025,3,1,0.659217686999909,4,1,0,0,0,0.659217686999909,-0.923879532511287,-0.38268343236509,2
10,377,0.65,3,8,1,0.968019497002388,2,377,9,3,0.529999761001818,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,54,0.65,1,4,1,0.415140676999727,1,54,2,4,0.186385525001242,2,1,0.415140676999727,4,1,0,0,0,0.415140676999727,-0.707106781186547,0.707106781186548,2
10,229,0.65,3,8,1,1.82221652799853,2,229,11,2,0.283722006999596,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,214,0.65,1,8,2,0.904964469002152,2,214,12,1,0.0646854370024812,1,1,0.904964469002152,1,0,1,0,0,NaN,NaN,NaN,2
10,45,0.65,3,4,2,0.806944353997096,2,45,6,4,0.203262956998515,1,1,0.806944353997096,4,0,1,0,0,NaN,NaN,NaN,2
10,732,1.4,1,8,1,0.819672223002271,1,348,8,4,0.182344302000274,4,1,0.819672223002271,4,1,0,0,0,0.819672223002271,0.923879532511287,-0.38268343236509,2
10,708,1.4,3,8,2,0.791237366000132,1,324,6,1,0.446248512998864,3,0,NaN,NaN,0,0,0,1,NaN,-0.38268343236509,-0.923879532511287,2
10,635,1.4,1,8,1,0.724459271998057,1,251,4,4,0.178407851999509,2,1,0.724459271998057,4,1,0,0,0,0.724459271998057,-0.923879532511287,0.38268343236509,2
10,420,1.4,3,4,1,0.719000310000411,1,36,1,4,0.697079920999386,1,1,0.719000310000411,4,1,0,0,0,0.719000310000411,0.707106781186548,0.707106781186547,2
10,454,1.4,1,4,2,0.47697413700007,2,70,7,4,0.753260146997491,2,1,0.47697413700007,4,0,1,0,0,NaN,NaN,NaN,2
10,644,1.4,1,8,2,0.705246161000105,2,260,14,1,0.439764894999826,2,1,0.705246161000105,1,0,1,0,0,NaN,NaN,NaN,2
10,564,1.4,3,4,1,0.414083734998712,1,180,4,4,0.539313780001976,4,1,0.414083734998712,4,1,0,0,0,0.414083734998712,0.707106781186547,-0.707106781186548,2
10,428,1.4,3,4,2,0.499128927000129,2,44,7,4,0.200588971998513,1,1,0.499128927000129,4,0,1,0,0,NaN,NaN,NaN,2
10,609,0.65,3,8,1,0.618490888999077,1,225,2,4,0.180673161998129,1,1,0.618490888999077,4,1,0,0,0,0.618490888999077,0.38268343236509,0.923879532511287,2
10,757,0.65,3,8,1,1.33515558699946,2,373,15,1,0.268095257997629,4,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,736,1.4,1,8,2,2.01457592199949,2,352,9,1,0.283761673999834,4,1,2.01457592199949,1,0,1,0,0,NaN,NaN,NaN,2
10,597,1.4,1,8,1,1.02715484600049,2,213,13,1,0.420221223001136,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,542,1.4,1,4,2,0.582880756999657,2,158,5,4,0.197876008998719,4,1,0.582880756999657,4,0,1,0,0,NaN,NaN,NaN,2
10,553,0.65,3,4,1,0.620717960999173,1,169,4,4,0.176693471999897,4,1,0.620717960999173,4,1,0,0,0,0.620717960999173,0.707106781186547,-0.707106781186548,2
10,416,1.4,3,4,1,0.823479807997501,1,32,1,4,0.542023301000881,1,1,0.823479807997501,4,1,0,0,0,0.823479807997501,0.707106781186548,0.707106781186547,2
10,745,0.65,3,8,1,0.516473318999488,1,361,7,4,0.538787844998296,4,1,0.516473318999488,4,1,0,0,0,0.516473318999488,0.38268343236509,-0.923879532511287,2
