Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_RT_TP
1,0.392699081698724,0.65,1,8,0.776358435199836
1,0.392699081698724,0.65,3,8,0.663310320249593
1,0.392699081698724,1.4,1,8,0.450354351833539
1,0.392699081698724,1.4,3,8,0.897480479000478
1,0.785398163397448,0.65,1,4,0.520364421916914
1,0.785398163397448,0.65,3,4,0.590457595666521
1,0.785398163397448,1.4,1,4,0.519990974583076
1,0.785398163397448,1.4,3,4,0.396826834833216
1,1.17809724509617,0.65,1,8,1.05783156439993
1,1.17809724509617,0.65,3,8,0.898451646000467
1,1.17809724509617,1.4,1,8,0.705293604500033
1,1.17809724509617,1.4,3,8,1.38127345850012
1,1.96349540849362,0.65,1,8,0.713028179799949
1,1.96349540849362,0.65,3,8,0.546424818999185
1,1.96349540849362,1.4,1,8,0.994199166833217
1,1.96349540849362,1.4,3,8,1.31102392799949
1,2.35619449019234,0.65,1,4,0.529857210750227
1,2.35619449019234,0.65,3,4,0.58713751999979
1,2.35619449019234,1.4,1,4,0.594506320166753
1,2.35619449019234,1.4,3,4,0.590320756166724
1,2.74889357189107,0.65,1,8,0.912765993200082
1,2.74889357189107,0.65,3,8,0.792570005000471
1,2.74889357189107,1.4,1,8,0.480898511500072
1,2.74889357189107,1.4,3,8,0.924561568250056
1,3.53429173528852,0.65,1,8,1.18717336999998
1,3.53429173528852,0.65,3,8,0.740922514500198
1,3.53429173528852,1.4,1,8,0.85137207040043
1,3.53429173528852,1.4,3,8,0.846762654000486
1,3.92699081698724,0.65,1,4,0.575600315889056
1,3.92699081698724,0.65,3,4,0.601530086333241
1,3.92699081698724,1.4,1,4,0.493107436181824
1,3.92699081698724,1.4,3,4,0.5324210863997
1,4.31968989868597,0.65,1,8,1.46564458199987
1,4.31968989868597,0.65,3,8,1.31214278449988
1,4.31968989868597,1.4,1,8,0.917790861833358
1,4.31968989868597,1.4,3,8,0.722043141999772
1,5.10508806208341,0.65,1,8,1.14666625179962
1,5.10508806208341,0.65,3,8,0.973857756750249
1,5.10508806208341,1.4,1,8,1.04602840966678
1,5.10508806208341,1.4,3,8,0.965694150999752
1,5.49778714378214,0.65,1,4,0.55182381383338
1,5.49778714378214,0.65,3,4,0.508923476833237
1,5.49778714378214,1.4,1,4,0.545918372099823
1,5.49778714378214,1.4,3,4,0.534554624166807
1,5.89048622548086,0.65,1,8,0.880649052667347
1,5.89048622548086,0.65,3,8,0.478761434000262
1,5.89048622548086,1.4,1,8,0.946494364499813
1,5.89048622548086,1.4,3,8,0.817731046500057
2,0.392699081698724,0.65,1,8,0.813796922750498
2,0.392699081698724,0.65,3,8,0.710766920499736
2,0.392699081698724,1.4,1,8,0.715363065248312
2,0.392699081698724,1.4,3,8,0.710274146500524
