Subject_code,trial_code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
6,146,0.65,1,8,1,0.415474573000211,1,2,2,4,0.19248885900015,1,0.415474573000211,4,1,0,0,0,0.415474573000211,0.707106781186548,0.707106781186547,1
6,173,1.4,1,8,2,0.58981602599988,1,29,7,2,0.504794488000243,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,119,1.4,3,6,1,0.518668289000288,2,47,7,2,3.47545535900008,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
6,154,0.65,1,8,2,0.781280547000279,1,10,7,2,0.647959631000049,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,33,1.4,1,4,2,2.0374718449998,1,33,4,3,0.606161109000368,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,261,1.4,3,10,2,1.1706124289999,1,45,6,3,0.506058010999823,0,NaN,NaN,0,0,0,1,NaN,-1,1.22464679914735e-16,1
6,78,0.65,1,6,1,0.666952333999689,1,6,2,4,0.613095758999862,1,0.666952333999689,4,1,0,0,0,0.666952333999689,0.5,0.866025403784439,1
6,7,0.65,1,4,1,1.15671787800011,1,7,3,4,0.44605800699992,1,1.15671787800011,4,1,0,0,0,1.15671787800011,-1,1.22464679914735e-16,1
6,276,0.65,3,10,2,0.787473312000202,1,60,4,3,0.33698589200003,0,NaN,NaN,0,0,0,1,NaN,-0.309016994374947,0.951056516295154,1
6,214,1.4,3,8,2,1.04332576300021,1,70,5,2,0.681837843999801,0,NaN,NaN,0,0,0,1,NaN,-1,1.22464679914735e-16,1
6,82,0.65,1,6,2,0.739013258999876,2,10,12,4,1.22572618100003,1,0.739013258999876,4,0,1,0,0,NaN,NaN,NaN,1
6,106,1.4,1,6,2,0.635965280999699,1,34,6,4,0.520975920999717,0,NaN,NaN,0,0,0,1,NaN,0.5,-0.866025403784439,1
6,67,1.4,3,4,2,0.541392844000256,2,67,7,4,0.79862887399986,1,0.541392844000256,4,0,1,0,0,NaN,NaN,NaN,1
6,29,1.4,1,4,2,0.73387955599992,2,29,6,4,0.448619315000087,1,0.73387955599992,4,0,1,0,0,NaN,NaN,NaN,1
6,251,1.4,1,10,1,0.55300614800035,1,35,1,4,0.777349202000096,1,0.55300614800035,4,1,0,0,0,0.55300614800035,1,0,1
6,91,1.4,1,6,2,0.755649405999975,2,19,12,4,0.912636673000179,1,0.755649405999975,4,0,1,0,0,NaN,NaN,NaN,1
6,217,0.65,1,10,2,0.495095176999712,2,1,15,4,0.556264827999712,1,0.495095176999712,4,0,1,0,0,NaN,NaN,NaN,1
6,12,0.65,1,4,2,0.535142267000083,2,12,6,4,0.180225675999736,1,0.535142267000083,4,0,1,0,0,NaN,NaN,NaN,1
