Subject_code,pos_rad,z_score
1,0,0.483186396
1,1.570796327,-0.428421646
1,3.141592654,-0.793064863
1,4.71238898,0.483186396
2,0,-0.428421646
2,1.570796327,-1.909784715
2,3.141592654,-0.793064863
2,4.71238898,-0.225842081
3,0,0.483186396
3,1.570796327,0.483186396
3,3.141592654,-0.314470641
3,4.71238898,-1.340029689
4,0,0.483186396
4,1.570796327,0.483186396
4,3.141592654,0.483186396
4,4.71238898,-1.909784715
5,0,-0.225842081
5,1.570796327,0.483186396
5,3.141592654,-5.898069901
5,4.71238898,0.483186396
6,0,0.483186396
6,1.570796327,-0.314470641
6,3.141592654,0.483186396
6,4.71238898,-4.986461858
7,0,0.483186396
7,1.570796327,0.483186396
7,3.141592654,0.483186396
7,4.71238898,0.483186396
8,0,0.483186396
8,1.570796327,-0.225842081
8,3.141592654,0.483186396
8,4.71238898,0.483186396
9,0,0.483186396
9,1.570796327,0.483186396
9,3.141592654,0.483186396
9,4.71238898,-2.707441752
10,0,0.483186396
10,1.570796327,0.483186396
10,3.141592654,0.483186396
10,4.71238898,0.483186396
11,0,0.483186396
11,1.570796327,0.483186396
11,3.141592654,0.483186396
11,4.71238898,-1.837270439
12,0,0.483186396
12,1.570796327,0.483186396
12,3.141592654,-1.340029689
12,4.71238898,-1.643899036
13,0,-1.643899036
13,1.570796327,0.483186396
13,3.141592654,0.483186396
13,4.71238898,0.483186396
14,0,0.483186396
14,1.570796327,0.483186396
14,3.141592654,0.483186396
14,4.71238898,-1.643899036
15,0,-0.154939234
15,1.570796327,0.483186396
15,3.141592654,0.483186396
15,4.71238898,0.483186396
16,0,0.483186396
16,1.570796327,0.483186396
16,3.141592654,0.483186396
16,4.71238898,-2.069316123
17,0,0.483186396
17,1.570796327,0.483186396
17,3.141592654,0.483186396
17,4.71238898,0.483186396
18,0,0.483186396
18,1.570796327,0.483186396
18,3.141592654,-0.58035632
18,4.71238898,0.483186396
1,0.785398163,0.483186396
1,2.35619449,0.483186396
1,3.926990817,-0.403099201
1,5.497787144,0.128672157
2,0.785398163,-0.048584962
2,2.35619449,0.305929277
2,3.926990817,0.305929277
2,5.497787144,0.483186396
3,0.785398163,-0.225842081
3,2.35619449,0.483186396
3,3.926990817,0.483186396
3,5.497787144,-0.048584962
4,0.785398163,0.483186396
4,2.35619449,-0.048584962
4,3.926990817,0.128672157
4,5.497787144,0.483186396
5,0.785398163,0.483186396
5,2.35619449,0.483186396
5,3.926990817,0.483186396
5,5.497787144,0.483186396
6,0.785398163,0.483186396
6,2.35619449,0.305929277
6,3.926990817,-0.225842081
6,5.497787144,-0.934870559
7,0.785398163,0.483186396
7,2.35619449,0.483186396
7,3.926990817,0.483186396
7,5.497787144,-0.048584962
8,0.785398163,0.483186396
8,2.35619449,0.483186396
8,3.926990817,0.483186396
8,5.497787144,0.483186396
9,0.785398163,0.305929277
9,2.35619449,0.483186396
9,3.926990817,-0.403099201
9,5.497787144,-0.757613439
10,0.785398163,0.128672157
10,2.35619449,0.305929277
10,3.926990817,0.305929277
10,5.497787144,0.305929277
11,0.785398163,-0.048584962
11,2.35619449,0.305929277
11,3.926990817,0.483186396
11,5.497787144,-0.048584962
1,0,-0.950426218
1,1.047197551,-0.104599113
1,2.094395102,-1.029722509
1,3.141592654,0.952684768
1,4.188790205,-0.104599113
1,5.235987756,-1.426203964
2,0,0.159721857
2,1.047197551,-0.316055889
2,2.094395102,-2.219166875
2,3.141592654,-0.633241054
2,4.188790205,-0.104599113
2,5.235987756,-1.161882994
3,0,-0.316055889
3,1.047197551,0.952684768
3,2.094395102,0.952684768
3,3.141592654,0.635499604
3,4.188790205,-0.633241054
3,5.235987756,-0.104599113
4,0,-0.104599113
4,1.047197551,0.952684768
4,2.094395102,0.424042828
4,3.141592654,0.952684768
4,4.188790205,-0.633241054
4,5.235987756,-1.161882994
5,0,0.31831444
5,1.047197551,0.952684768
5,2.094395102,0.952684768
5,3.141592654,-0.104599113
5,4.188790205,-0.633241054
5,5.235987756,-1.426203964
6,0,0.952684768
6,1.047197551,0.952684768
6,2.094395102,0.952684768
6,3.141592654,-0.633241054
6,4.188790205,-2.219166875
6,5.235987756,-1.161882994
7,0,0.952684768
7,1.047197551,0.952684768
7,2.094395102,-2.219166875
7,3.141592654,-0.104599113
7,4.188790205,-2.219166875
7,5.235987756,-2.219166875
8,0,-0.104599113
8,1.047197551,0.952684768
8,2.094395102,0.952684768
8,3.141592654,0.952684768
8,4.188790205,0.159721857
8,5.235987756,-0.633241054
9,0,0.952684768
9,1.047197551,0.424042828
9,2.094395102,0.952684768
9,3.141592654,0.159721857
9,4.188790205,-1.690524935
9,5.235987756,-1.584796547
10,0,0.952684768
10,1.047197551,0.952684768
10,2.094395102,0.952684768
10,3.141592654,0.159721857
10,4.188790205,-0.633241054
10,5.235987756,0.952684768
11,0,0.159721857
11,1.047197551,0.952684768
11,2.094395102,0.159721857
11,3.141592654,-0.633241054
11,4.188790205,-2.219166875
11,5.235987756,-1.029722509
12,0,0.952684768
12,1.047197551,0.952684768
12,2.094395102,0.159721857
12,4.188790205,-1.426203964
12,5.235987756,-0.633241054
13,0,0.952684768
13,1.047197551,0.499563105
13,2.094395102,0.952684768
13,3.141592654,0.952684768
13,4.188790205,-1.584796547
13,5.235987756,-1.584796547
14,0,0.952684768
14,1.047197551,0.952684768
14,2.094395102,0.159721857
14,3.141592654,0.499563105
14,4.188790205,0.046441442
14,5.235987756,-0.950426218
15,0,0.424042828
15,1.047197551,-0.316055889
15,2.094395102,-1.426203964
15,3.141592654,0.952684768
15,4.188790205,0.952684768
15,5.235987756,0.952684768
16,0,0.952684768
16,1.047197551,0.952684768
