code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
7,0.65,1,4,2,0.524690117999853,2,7,8,3,2.64941835900026,1,0.524690117999853,3,0,1,0,0,NaN,NaN,1
143,1.4,3,6,2,1.31987065800058,2,71,10,2,1.14956990500104,1,1.31987065800058,2,0,1,0,0,NaN,NaN,1
87,0.65,1,6,1,0.558648468000683,1,15,1,4,0.535482696999679,1,0.558648468000683,4,1,0,0,0,0.866025403784439,0.5,1
15,0.65,1,4,2,0.69400619299995,2,15,8,4,0.545072455000991,1,0.69400619299995,4,0,1,0,0,NaN,NaN,1
195,1.4,3,8,2,0.479281407000599,2,51,14,1,2.64567140300096,1,0.479281407000599,1,0,1,0,0,NaN,NaN,1
24,1.4,1,4,2,0.526847250999708,2,24,5,4,0.269888769000318,1,0.526847250999708,4,0,1,0,0,NaN,NaN,1
217,0.65,1,10,1,0.556980405999639,1,1,3,4,0.203695307000089,1,0.556980405999639,4,1,0,0,0,6.12323399573677e-17,1,1
223,0.65,1,10,2,0.692842634000044,1,7,7,1,2.14707786999861,0,NaN,NaN,0,0,0,1,-0.587785252292473,-0.809016994374947,1
34,1.4,1,4,2,0.438616699000704,2,34,6,4,0.540449934998833,1,0.438616699000704,4,0,1,0,0,NaN,NaN,1
179,1.4,1,8,2,0.559358844999224,2,35,13,2,1.67636318499899,1,0.559358844999224,2,0,1,0,0,NaN,NaN,1
47,0.65,3,4,2,0.528615621000426,2,47,6,3,2.37331794999955,1,0.528615621000426,3,0,1,0,0,NaN,NaN,1
161,0.65,1,8,2,0.732858342000327,2,17,13,1,1.93590363200019,1,0.732858342000327,1,0,1,0,0,NaN,NaN,1
252,1.4,1,10,2,1.14091513499989,2,36,14,1,0.572148322999055,1,1.14091513499989,1,0,1,0,0,NaN,NaN,1
4,0.65,1,4,2,0.692050047000521,2,4,6,1,1.25828750300025,1,0.692050047000521,1,0,1,0,0,NaN,NaN,1
119,0.65,3,6,1,0.595411145999606,1,47,2,4,0.271584755000731,1,0.595411145999606,4,1,0,0,0,6.12323399573677e-17,1,1
230,0.65,1,10,2,0.610300305999772,2,14,20,1,0.569777875,1,0.610300305999772,1,0,1,0,0,NaN,NaN,1
158,0.65,1,8,2,0.571568887000467,2,14,12,1,0.642178585001602,1,0.571568887000467,1,0,1,0,0,NaN,NaN,1
175,1.4,1,8,1,1.85667607600044,2,31,16,2,1.67570553100086,0,NaN,NaN,0,0,1,0,NaN,NaN,1
228,0.65,1,10,1,0.691429365000658,1,12,4,4,0.270289439000408,1,0.691429365000658,4,1,0,0,0,-0.587785252292473,0.809016994374947,1
278,0.65,3,10,2,1.09641619200011,2,62,19,1,0.434231622999505,1,1.09641619200011,1,0,1,0,0,NaN,NaN,1
107,1.4,1,6,1,0.512796115001038,1,35,6,4,0.203891041999668,1,0.512796115001038,4,1,0,0,0,0.866025403784439,-0.5,1
231,0.65,1,10,2,0.478645167999275,2,15,12,1,0.366629603999172,1,0.478645167999275,1,0,1,0,0,NaN,NaN,1
218,0.65,1,10,1,0.594747242999802,1,2,3,4,0.0629393730014272,1,0.594747242999802,4,1,0,0,0,6.12323399573677e-17,1,1
168,1.4,1,8,1,1.29125329999988,1,24,1,4,0.270578137000484,1,1.29125329999988,4,1,0,0,0,0.923879532511287,0.38268343236509,1
37,1.4,3,4,2,0.55954603399914,2,37,5,1,0.229583893000381,1,0.55954603399914,1,0,1,0,0,NaN,NaN,1
13,0.65,1,4,2,0.851385713000127,2,13,7,4,0.287888651000685,1,0.851385713000127,4,0,1,0,0,NaN,NaN,1
50,1.4,3,4,1,0.803403752999657,1,50,4,4,0.206104929000503,1,0.803403752999657,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
54,1.4,3,4,1,0.430127882998931,1,54,1,4,0.202317941000729,1,0.430127882998931,4,1,0,0,0,0.707106781186548,0.707106781186547,1
266,1.4,3,10,2,0.764953260999391,2,50,12,1,0.164939602000231,1,0.764953260999391,1,0,1,0,0,NaN,NaN,1
236,1.4,1,10,2,1.66555231799975,1,20,6,1,0.162280180999005,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,1
247,1.4,1,10,1,0.753415456001676,1,31,4,4,0.0576116320007714,1,0.753415456001676,4,1,0,0,0,-0.587785252292473,0.809016994374947,1
108,1.4,1,6,1,0.555067897001209,1,36,2,4,0.0658374499998899,1,0.555067897001209,4,1,0,0,0,6.12323399573677e-17,1,1
1,0.65,1,4,2,0.53633918199921,2,1,8,4,0.201858556001753,1,0.53633918199921,4,0,1,0,0,NaN,NaN,1
207,1.4,3,8,2,0.812849142001141,1,63,5,2,1.26596670099934,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,1
244,1.4,1,10,2,0.77617135500077,2,28,11,1,0.29842820200065,1,0.77617135500077,1,0,1,0,0,NaN,NaN,1
125,1.4,3,6,2,1.22571595800036,2,53,10,2,1.47106805499971,1,1.22571595800036,2,0,1,0,0,NaN,NaN,1
26,1.4,1,4,1,0.722271295999235,1,26,4,4,0.135308507000445,1,0.722271295999235,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
151,0.65,1,8,2,0.649680709999302,2,7,11,1,1.46117243400113,1,0.649680709999302,1,0,1,0,0,NaN,NaN,1
237,1.4,1,10,1,0.588864186000137,1,21,8,4,0.0564311239995732,1,0.588864186000137,4,1,0,0,0,-1.83697019872103e-16,-1,1
219,0.65,1,10,2,0.568530554999597,1,3,9,1,0.0163843720001751,0,NaN,NaN,0,0,0,1,0.587785252292473,-0.809016994374948,1
29,1.4,1,4,2,0.522378113000741,2,29,5,4,1.2259248090013,1,0.522378113000741,4,0,1,0,0,NaN,NaN,1
30,1.4,1,4,1,0.393685561000893,1,30,4,4,0.0575219519996608,1,0.393685561000893,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
188,0.65,3,8,2,0.894930811000449,1,44,8,2,0.926348159999179,0,NaN,NaN,0,0,0,1,0.923879532511287,-0.38268343236509,1
123,1.4,3,6,1,0.433712776999528,1,51,6,4,0.276176689998465,1,0.433712776999528,4,1,0,0,0,0.866025403784439,-0.5,1
128,1.4,3,6,2,1.33603843300079,1,56,1,3,1.07577613099966,0,NaN,NaN,0,0,0,1,0.866025403784439,0.5,1
286,0.65,3,10,1,0.505191513999307,1,70,3,4,0.0566779559994757,1,0.505191513999307,4,1,0,0,0,6.12323399573677e-17,1,1
164,1.4,1,8,2,0.527701819000868,2,20,16,1,1.45589732000008,1,0.527701819000868,1,0,1,0,0,NaN,NaN,1
185,0.65,3,8,1,0.75191623000137,1,41,3,4,0.13519940200058,1,0.75191623000137,4,1,0,0,0,-0.38268343236509,0.923879532511287,1
198,1.4,3,8,1,0.885474466000232,1,54,1,4,0.0624495369993383,1,0.885474466000232,4,1,0,0,0,0.923879532511287,0.38268343236509,1
6,0.65,1,4,2,0.968922770000063,2,6,6,4,1.08817095499944,1,0.968922770000063,4,0,1,0,0,NaN,NaN,1
166,1.4,1,8,2,1.62670802399953,2,22,14,1,0.300635190998946,1,1.62670802399953,1,0,1,0,0,NaN,NaN,1
109,1.4,3,6,2,1.18227612899864,2,37,9,4,0.125296567000987,1,1.18227612899864,4,0,1,0,0,NaN,NaN,1
122,1.4,3,6,1,0.434784772000057,1,50,1,4,0.057156845999998,1,0.434784772000057,4,1,0,0,0,0.866025403784439,0.5,1
95,1.4,1,6,1,0.430927779998456,1,23,6,4,0.0665068140006042,1,0.430927779998456,4,1,0,0,0,0.866025403784439,-0.5,1
147,0.65,1,8,1,0.712118938999993,1,3,4,4,0.883334570000443,1,0.712118938999993,4,1,0,0,0,-0.923879532511287,0.38268343236509,1
97,1.4,1,6,2,0.438584065999748,1,25,5,2,2.77400089599905,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
144,0.65,3,6,1,0.473981695000475,1,72,1,4,0.0571376059997419,1,0.473981695000475,4,1,0,0,0,0.866025403784439,0.5,1
251,1.4,1,10,1,1.1056216449997,1,35,4,4,0.0681662030001462,1,1.1056216449997,4,1,0,0,0,-0.587785252292473,0.809016994374947,1
112,0.65,3,6,2,0.688835863000349,2,40,9,3,0.463838557001509,1,0.688835863000349,3,0,1,0,0,NaN,NaN,1
245,1.4,1,10,2,0.683271928999602,2,29,15,1,1.85111291799876,1,0.683271928999602,1,0,1,0,0,NaN,NaN,1
146,0.65,1,8,2,0.479835939999248,2,2,12,1,3.16426803200011,1,0.479835939999248,1,0,1,0,0,NaN,NaN,1
169,1.4,1,8,2,0.411699928999951,2,25,12,2,1.64081565699962,1,0.411699928999951,2,0,1,0,0,NaN,NaN,1
86,0.65,1,6,2,0.364501882999321,2,14,9,4,0.132165893999627,1,0.364501882999321,4,0,1,0,0,NaN,NaN,1
281,0.65,3,10,1,0.756621608999922,1,65,9,4,0.0570437539990962,1,0.756621608999922,4,1,0,0,0,0.587785252292473,-0.809016994374948,1
73,0.65,1,6,1,1.77111391399922,2,1,12,3,1.04623929099944,0,NaN,NaN,0,0,1,0,NaN,NaN,1
282,0.65,3,10,2,0.481228063001254,2,66,12,1,2.753678699999,1,0.481228063001254,1,0,1,0,0,NaN,NaN,1
149,0.65,1,8,1,0.432410936000451,1,5,1,4,0.0622035610012972,1,0.432410936000451,4,1,0,0,0,0.923879532511287,0.38268343236509,1
272,1.4,3,10,2,0.698525215999325,1,56,5,1,0.0942793090016494,0,NaN,NaN,0,0,0,1,-0.951056516295154,0.309016994374948,1
99,1.4,1,6,2,0.816722144998494,2,27,12,3,0.804196848999709,1,0.816722144998494,3,0,1,0,0,NaN,NaN,1
77,0.65,1,6,1,0.883640846001072,1,5,4,4,0.0665427780004393,1,0.883640846001072,4,1,0,0,0,-0.866025403784439,-0.5,1
63,1.4,3,4,2,0.81046452100054,2,63,7,4,0.133745580000323,1,0.81046452100054,4,0,1,0,0,NaN,NaN,1
70,0.65,3,4,1,0.679299216999425,1,70,2,4,0.134562806000758,1,0.679299216999425,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
21,1.4,1,4,1,0.436448639999071,1,21,3,4,0.0663014809997549,1,0.436448639999071,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
NaN,1.4,1,6,1,1.05334320300062,1,28,3,4,0.0643319049995625,1,1.05334320300062,4,1,0,0,0,-0.866025403784438,0.5,1
35,1.4,1,4,2,1.47237742799916,2,35,7,4,0.27038869900025,1,1.47237742799916,4,0,1,0,0,NaN,NaN,1
267,1.4,3,10,2,0.439227546999973,2,51,20,4,0.681234489000417,1,0.439227546999973,4,0,1,0,0,NaN,NaN,1
126,1.4,3,6,2,0.766429121000328,2,54,7,3,0.801165779001167,1,0.766429121000328,3,0,1,0,0,NaN,NaN,1
220,0.65,1,10,2,0.569463997999264,1,4,6,1,0.574072868999792,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,1
171,1.4,1,8,2,0.450728460999017,1,27,5,2,1.89618721199986,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,1
91,1.4,1,6,1,0.725397750000411,1,19,4,4,0.135863633999179,1,0.725397750000411,4,1,0,0,0,-0.866025403784439,-0.5,1
154,0.65,1,8,2,0.442195308000009,1,10,5,2,1.26420805099951,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,1
113,0.65,3,6,1,0.35234148499876,1,41,6,4,0.068143267000778,1,0.35234148499876,4,1,0,0,0,0.866025403784439,-0.5,1
19,1.4,1,4,1,0.524400409000009,1,19,4,4,0.0574636900000769,1,0.524400409000009,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
49,1.4,3,4,2,0.485882670000137,2,49,8,4,0.273846751999372,1,0.485882670000137,4,0,1,0,0,NaN,NaN,1
232,0.65,1,10,2,0.600556933999542,2,16,17,1,1.87081704800039,1,0.600556933999542,1,0,1,0,0,NaN,NaN,1
134,0.65,3,6,2,0.562191224998969,1,62,5,2,1.53709964100017,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
288,0.65,3,10,2,0.567578836000393,2,72,18,1,1.25333337300071,1,0.567578836000393,1,0,1,0,0,NaN,NaN,1
263,0.65,3,10,2,0.520671467998909,1,47,8,2,2.95603473600022,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
180,1.4,1,8,2,0.688880239000355,2,36,14,3,2.42923501000041,1,0.688880239000355,3,0,1,0,0,NaN,NaN,1
243,1.4,1,10,2,0.43842616999973,1,27,6,1,1.914922603999,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,1
270,1.4,3,10,2,1.00793490899923,2,54,17,1,0.907113093000589,1,1.00793490899923,1,0,1,0,0,NaN,NaN,1
287,1.4,3,10,2,0.77305669099951,2,71,19,1,0.772986846001004,1,0.77305669099951,1,0,1,0,0,NaN,NaN,1
36,1.4,1,4,2,0.363126391999685,2,36,8,4,1.15548683899942,1,0.363126391999685,4,0,1,0,0,NaN,NaN,1
44,0.65,3,4,1,0.471709700999781,1,44,2,4,0.133948244001658,1,0.471709700999781,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
101,1.4,1,6,1,0.955137506000028,1,29,1,3,0.461177212000621,1,0.955137506000028,3,1,0,0,0,0.866025403784439,0.5,1
249,1.4,1,10,2,0.688118263000433,2,33,19,1,0.291558995999367,1,0.688118263000433,1,0,1,0,0,NaN,NaN,1
148,0.65,1,8,1,0.511762353000449,1,4,1,4,0.0571258929994656,1,0.511762353000449,4,1,0,0,0,0.923879532511287,0.38268343236509,1
93,1.4,1,6,2,1.50063142200088,1,21,4,2,2.07916834400021,0,NaN,NaN,0,0,0,1,-0.866025403784439,-0.5,1
250,1.4,1,10,2,0.525061809999897,1,34,6,1,0.90799976100061,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,1
3,0.65,1,4,1,0.392543533000207,1,3,4,4,0.0576033939996705,1,0.392543533000207,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
206,0.65,3,8,2,0.773782566000591,1,62,8,1,1.38428448499872,0,NaN,NaN,0,0,0,1,0.923879532511287,-0.38268343236509,1
16,0.65,1,4,2,0.844455590000507,2,16,7,4,1.82807146499908,1,0.844455590000507,4,0,1,0,0,NaN,NaN,1
22,1.4,1,4,1,0.394085149999228,1,22,3,4,0.0567942509987915,1,0.394085149999228,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
20,1.4,1,4,1,0.594878288999098,1,20,4,4,0.0676627869997901,1,0.594878288999098,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
66,0.65,3,4,1,0.393037395000647,1,66,1,4,0.0623292010004661,1,0.393037395000647,4,1,0,0,0,0.707106781186548,0.707106781186547,1
76,0.65,1,6,2,0.609162800001286,2,4,12,4,1.75699620199885,1,0.609162800001286,4,0,1,0,0,NaN,NaN,1
225,0.65,1,10,2,0.894818089000182,2,9,20,1,0.703228132000731,1,0.894818089000182,1,0,1,0,0,NaN,NaN,1
65,0.65,3,4,2,0.48663210199993,2,65,8,4,2.31512713399934,1,0.48663210199993,4,0,1,0,0,NaN,NaN,1
256,0.65,3,10,2,1.22059081800035,2,40,20,1,0.911929481000698,1,1.22059081800035,1,0,1,0,0,NaN,NaN,1
28,1.4,1,4,1,0.469963465000546,1,28,4,4,0.261956283999098,1,0.469963465000546,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
216,0.65,3,8,1,1.36818140600008,1,72,8,2,0.855224794999231,1,1.36818140600008,2,1,0,0,0,0.923879532511287,-0.38268343236509,1
27,1.4,1,4,1,0.302536127001076,1,27,1,4,0.0642936650001502,1,0.302536127001076,4,1,0,0,0,0.707106781186548,0.707106781186547,1
9,0.65,1,4,1,1.61904323399904,1,9,4,4,0.0664971170008357,1,1.61904323399904,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
80,0.65,1,6,1,0.394666429998324,1,8,3,4,0.47272984600022,1,0.394666429998324,4,1,0,0,0,-0.866025403784438,0.5,1
215,1.4,3,8,2,0.733091779000461,2,71,15,1,0.364071331001469,1,0.733091779000461,1,0,1,0,0,NaN,NaN,1
193,1.4,3,8,2,0.729189415000292,2,49,15,2,1.26696977199936,1,0.729189415000292,2,0,1,0,0,NaN,NaN,1
78,0.65,1,6,1,0.874798513999849,1,6,4,4,0.200633477001247,1,0.874798513999849,4,1,0,0,0,-0.866025403784439,-0.5,1
235,1.4,1,10,2,1.18104412299908,1,19,6,1,1.52264158600155,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,1
197,1.4,3,8,2,1.43294256199988,1,53,6,1,0.0276087399997778,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,1
135,1.4,3,6,2,0.526975114999004,2,63,10,2,1.34052388100099,1,0.526975114999004,2,0,1,0,0,NaN,NaN,1
246,1.4,1,10,2,0.891547019999052,2,30,16,1,1.32462241400026,1,0.891547019999052,1,0,1,0,0,NaN,NaN,1
240,1.4,1,10,2,0.692219132999526,1,24,7,1,0.298705174998759,0,NaN,NaN,0,0,0,1,-0.587785252292473,-0.809016994374947,1
90,0.65,1,6,1,0.63582728000074,1,18,3,4,0.0571113359983428,1,0.63582728000074,4,1,0,0,0,-0.866025403784438,0.5,1
234,0.65,1,10,2,1.17746028699912,2,18,20,3,2.77550290999898,1,1.17746028699912,3,0,1,0,0,NaN,NaN,1
75,0.65,1,6,1,0.678394049999042,1,3,3,4,0.065102761000162,1,0.678394049999042,4,1,0,0,0,-0.866025403784438,0.5,1
172,1.4,1,8,1,0.595238364001489,1,28,4,4,0.0652395249999245,1,0.595238364001489,4,1,0,0,0,-0.923879532511287,0.38268343236509,1
178,1.4,1,8,1,0.507952658999784,1,34,1,4,0.0570607779991406,1,0.507952658999784,4,1,0,0,0,0.923879532511287,0.38268343236509,1
62,0.65,3,4,2,0.525377584001035,2,62,6,4,0.0668971830000373,1,0.525377584001035,4,0,1,0,0,NaN,NaN,1
152,0.65,1,8,2,0.692394812000202,1,8,8,2,1.60404539900082,0,NaN,NaN,0,0,0,1,0.923879532511287,-0.38268343236509,1
167,1.4,1,8,1,0.46957905599993,1,23,1,4,0.0571875059995364,1,0.46957905599993,4,1,0,0,0,0.923879532511287,0.38268343236509,1
150,0.65,1,8,2,0.77110675899894,2,6,16,3,3.05959178100056,1,0.77110675899894,3,0,1,0,0,NaN,NaN,1
103,1.4,1,6,2,0.728997602000163,2,31,9,4,1.75870381200002,1,0.728997602000163,4,0,1,0,0,NaN,NaN,1
84,0.65,1,6,2,0.406474315999731,2,12,12,3,0.871466310998585,1,0.406474315999731,3,0,1,0,0,NaN,NaN,1
176,1.4,1,8,2,0.853138964999744,2,32,12,3,2.29330201000084,1,0.853138964999744,3,0,1,0,0,NaN,NaN,1
214,0.65,3,8,1,0.507490408001104,1,70,3,4,0.0570974750007736,1,0.507490408001104,4,1,0,0,0,-0.38268343236509,0.923879532511287,1
94,1.4,1,6,2,0.488003954000305,2,22,7,3,0.929298734999975,1,0.488003954000305,3,0,1,0,0,NaN,NaN,1
257,0.65,3,10,2,0.687458885000524,2,41,13,3,2.77849738199984,1,0.687458885000524,3,0,1,0,0,NaN,NaN,1
32,1.4,1,4,2,0.569709818000774,2,32,5,4,0.137269823000679,1,0.569709818000774,4,0,1,0,0,NaN,NaN,1
155,0.65,1,8,2,1.22241811700042,2,11,12,3,2.23056176200043,1,1.22241811700042,3,0,1,0,0,NaN,NaN,1
279,1.4,3,10,1,0.472000618001402,1,63,2,4,0.0569940929999575,1,0.472000618001402,4,1,0,0,0,0.587785252292473,0.809016994374947,1
72,0.65,3,4,1,1.49269777900008,1,72,3,4,0.137597390999872,1,1.49269777900008,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
194,1.4,3,8,1,0.383222492999266,1,50,2,4,0.0574961410002288,1,0.383222492999266,4,1,0,0,0,0.38268343236509,0.923879532511287,1
142,0.65,3,6,2,1.21751143300025,2,70,12,4,1.01694936199965,1,1.21751143300025,4,0,1,0,0,NaN,NaN,1
181,1.4,3,8,2,0.805725751000864,2,37,13,2,1.07012367400057,1,0.805725751000864,2,0,1,0,0,NaN,NaN,1
269,1.4,3,10,2,0.527283740999337,1,53,10,1,0.433656691999204,0,NaN,NaN,0,0,0,1,0.951056516295154,-0.309016994374948,1
138,0.65,3,6,2,0.65108046000023,2,66,12,3,2.23090234700067,1,0.65108046000023,3,0,1,0,0,NaN,NaN,1
233,0.65,1,10,2,0.450092278999364,2,17,11,1,0.428882553998847,1,0.450092278999364,1,0,1,0,0,NaN,NaN,1
248,1.4,1,10,2,0.367130093000014,2,32,18,1,0.774698389999685,1,0.367130093000014,1,0,1,0,0,NaN,NaN,1
156,0.65,1,8,2,0.438434171999688,2,12,15,2,1.74029673299992,1,0.438434171999688,2,0,1,0,0,NaN,NaN,1
137,0.65,3,6,2,0.437483816000167,2,65,10,3,1.88074816600056,1,0.437483816000167,3,0,1,0,0,NaN,NaN,1
184,0.65,3,8,1,0.351327630000014,1,40,8,4,0.881425617000787,1,0.351327630000014,4,1,0,0,0,0.923879532511287,-0.38268343236509,1
8,0.65,1,4,1,0.384227034001015,1,8,3,4,0.202972992001378,1,0.384227034001015,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
11,0.65,1,4,1,0.302522119998685,1,11,3,4,0.0569760090002092,1,0.302522119998685,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
224,0.65,1,10,2,0.439429426998686,2,8,11,1,0.847274199000822,1,0.439429426998686,1,0,1,0,0,NaN,NaN,1
89,0.65,1,6,1,0.350017028000366,1,17,6,4,0.0570109899999807,1,0.350017028000366,4,1,0,0,0,0.866025403784439,-0.5,1
221,0.65,1,10,2,0.528471645000536,2,5,16,1,0.569609721000234,1,0.528471645000536,1,0,1,0,0,NaN,NaN,1
71,1.4,3,4,1,0.263678977999007,1,71,4,4,0.0570455699999002,1,0.263678977999007,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
25,1.4,1,4,1,0.4734295499984,1,25,2,4,0.0575421990015457,1,0.4734295499984,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
40,0.65,3,4,2,0.407716521000111,2,40,7,4,0.817165600001317,1,0.407716521000111,4,0,1,0,0,NaN,NaN,1
229,0.65,1,10,2,0.404268281999975,2,13,17,1,0.364137601000039,1,0.404268281999975,1,0,1,0,0,NaN,NaN,1
98,1.4,1,6,2,0.403680612998869,2,26,10,3,1.48073426100018,1,0.403680612998869,3,0,1,0,0,NaN,NaN,1
56,1.4,3,4,2,0.598163037000631,2,56,7,4,1.2882164040002,1,0.598163037000631,4,0,1,0,0,NaN,NaN,1
23,1.4,1,4,1,0.351076251001359,1,23,4,4,0.057107934000669,1,0.351076251001359,4,1,0,0,0,0.707106781186547,-0.707106781186548,1
210,0.65,3,8,1,0.883495867999954,1,66,3,3,0.586380831000497,1,0.883495867999954,3,1,0,0,0,-0.38268343236509,0.923879532511287,1
41,0.65,3,4,2,2.15899477299899,1,41,3,3,1.54730172900054,0,NaN,NaN,0,0,0,1,-0.707106781186548,-0.707106781186547,1
121,1.4,3,6,2,1.09457466700042,2,49,10,3,1.82141571200009,1,1.09457466700042,3,0,1,0,0,NaN,NaN,1
96,1.4,1,6,1,0.35066254099911,1,24,6,4,0.0569593939999322,1,0.35066254099911,4,1,0,0,0,0.866025403784439,-0.5,1
2,0.65,1,4,2,0.445765876000223,2,2,6,4,0.60225755600004,1,0.445765876000223,4,0,1,0,0,NaN,NaN,1
18,0.65,1,4,2,0.438235275001716,2,18,5,4,0.74542021400157,1,0.438235275001716,4,0,1,0,0,NaN,NaN,1
174,1.4,1,8,1,0.303877263000686,2,30,14,3,0.529734879999523,0,NaN,NaN,0,0,1,0,NaN,NaN,1
31,1.4,1,4,1,0.474284382000405,1,31,2,4,0.0574193200009177,1,0.474284382000405,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
191,0.65,3,8,2,0.803543801001069,1,47,5,2,0.991485818000001,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,1
106,1.4,1,6,1,0.52119281799969,1,34,2,4,0.0570767340013845,1,0.52119281799969,4,1,0,0,0,6.12323399573677e-17,1,1
265,1.4,3,10,2,0.52505643800032,2,49,17,1,0.906320754998887,1,0.52505643800032,1,0,1,0,0,NaN,NaN,1
10,0.65,1,4,2,0.397679010999127,2,10,5,4,0.405719203001354,1,0.397679010999127,4,0,1,0,0,NaN,NaN,1
145,0.65,1,8,1,0.356405012000323,1,1,1,4,0.473864428000525,1,0.356405012000323,4,1,0,0,0,0.923879532511287,0.38268343236509,1
200,1.4,3,8,2,0.44303865800066,2,56,9,1,0.838468449999709,1,0.44303865800066,1,0,1,0,0,NaN,NaN,1
177,1.4,1,8,2,0.521636392000801,2,33,15,3,1.68240373299886,1,0.521636392000801,3,0,1,0,0,NaN,NaN,1
153,0.65,1,8,1,0.317651479999768,1,9,1,4,0.0570245979997708,1,0.317651479999768,4,1,0,0,0,0.923879532511287,0.38268343236509,1
238,1.4,1,10,1,1.15395711699966,1,22,2,3,0.257254117999764,1,1.15395711699966,3,1,0,0,0,0.587785252292473,0.809016994374947,1
5,0.65,1,4,1,0.351206875999196,1,5,1,4,0.0677256449998822,1,0.351206875999196,4,1,0,0,0,0.707106781186548,0.707106781186547,1
92,1.4,1,6,1,0.430440094000005,1,20,3,4,0.404362888999458,1,0.430440094000005,4,1,0,0,0,-0.866025403784438,0.5,1
74,0.65,1,6,1,0.472478453999429,1,2,3,4,0.057090716998573,1,0.472478453999429,4,1,0,0,0,-0.866025403784438,0.5,1
51,1.4,3,4,2,0.364280511999823,2,51,7,4,0.202843970000686,1,0.364280511999823,4,0,1,0,0,NaN,NaN,1
160,0.65,1,8,2,0.569743394999023,2,16,10,3,2.23080341400055,1,0.569743394999023,3,0,1,0,0,NaN,NaN,1
17,0.65,1,4,2,0.404856813998776,2,17,6,4,0.135831282999789,1,0.404856813998776,4,0,1,0,0,NaN,NaN,1
85,0.65,1,6,1,0.263157915000193,2,13,7,1,1.45224800400138,0,NaN,NaN,0,0,1,0,NaN,NaN,1
241,1.4,1,10,2,0.459277275000204,2,25,19,1,0.976499763000902,1,0.459277275000204,1,0,1,0,0,NaN,NaN,1
88,0.65,1,6,2,0.359610890000113,2,16,7,4,1.48924812400037,1,0.359610890000113,4,0,1,0,0,NaN,NaN,1
253,1.4,3,10,2,0.418055705998995,2,37,20,1,0.845752716000788,1,0.418055705998995,1,0,1,0,0,NaN,NaN,1
116,0.65,3,6,2,0.361437158999252,1,44,5,3,1.68169196900089,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
163,1.4,1,8,2,0.77332916100022,2,19,11,3,1.06983129199944,1,0.77332916100022,3,0,1,0,0,NaN,NaN,1
