code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
238,1.4,1,10,NaN,4.00244201000169,2,22,13,NaN,4.00292180700126,0,NaN,NaN,0,0,0,0,NaN,NaN,2
144,1.4,3,6,2,1.1296769799992,2,72,11,1,0.899989049001306,1,1.1296769799992,1,0,1,0,0,NaN,NaN,2
245,1.4,1,10,2,1.43918866500098,2,29,20,1,0.552506094998535,1,1.43918866500098,1,0,1,0,0,NaN,NaN,2
101,1.4,1,6,2,1.49175839199961,2,29,11,2,0.434698321001633,1,1.49175839199961,2,0,1,0,0,NaN,NaN,2
176,1.4,1,8,2,1.55763647300046,1,32,5,1,1.04033383099886,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,2
179,1.4,1,8,2,2.46214650899856,2,35,10,2,0.641827179999382,1,2.46214650899856,2,0,1,0,0,NaN,NaN,2
227,0.65,1,10,2,1.30444490900118,2,11,20,2,0.73096796399841,1,1.30444490900118,2,0,1,0,0,NaN,NaN,2
47,0.65,3,4,1,0.897372839001036,1,47,2,4,0.635653414999979,1,0.897372839001036,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
16,0.65,1,4,2,1.03572349599926,1,16,4,4,0.577895534999698,0,NaN,NaN,0,0,0,1,0.707106781186547,-0.707106781186548,2
252,1.4,1,10,2,2.49622830999942,2,36,15,1,2.0121699070005,1,2.49622830999942,1,0,1,0,0,NaN,NaN,2
137,1.4,3,6,1,0.818680157997733,1,65,2,4,0.561220845997013,1,0.818680157997733,4,1,0,0,0,6.12323399573677e-17,1,2
80,0.65,1,6,2,1.584762753002,1,8,6,2,1.59850833000019,0,NaN,NaN,0,0,0,1,0.866025403784439,-0.5,2
222,0.65,1,10,2,3.67462427600185,2,6,14,3,2.3624788470006,1,3.67462427600185,3,0,1,0,0,NaN,NaN,2
220,0.65,1,10,1,2.50606208499812,2,4,13,2,0.502287592997163,0,NaN,NaN,0,0,1,0,NaN,NaN,2
229,0.65,1,10,2,1.99692358699758,2,13,19,2,0.145698002001154,1,1.99692358699758,2,0,1,0,0,NaN,NaN,2
128,0.65,3,6,2,2.81907235499966,2,56,12,3,1.22235279600136,1,2.81907235499966,3,0,1,0,0,NaN,NaN,2
288,1.4,3,10,2,1.96814524300135,1,72,10,2,0.0916114199972071,0,NaN,NaN,0,0,0,1,0.951056516295154,-0.309016994374948,2
160,0.65,1,8,2,1.59529458500037,1,16,7,3,0.659062636997987,0,NaN,NaN,0,0,0,1,0.38268343236509,-0.923879532511287,2
102,1.4,1,6,1,1.62210435000088,1,30,1,4,0.149933529999544,1,1.62210435000088,4,1,0,0,0,0.866025403784439,0.5,2
15,0.65,1,4,2,1.40757532599673,2,15,5,3,0.0676438800001051,1,1.40757532599673,3,0,1,0,0,NaN,NaN,2
131,1.4,3,6,1,2.10189190500023,1,59,3,3,0.092198410002311,1,2.10189190500023,3,1,0,0,0,-0.866025403784438,0.5,2
33,1.4,1,4,1,1.1564719329981,1,33,3,4,0.538337904999935,1,1.1564719329981,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
251,1.4,1,10,1,1.98421956300081,2,35,12,2,0.119406050998805,0,NaN,NaN,0,0,1,0,NaN,NaN,2
20,1.4,1,4,2,1.46240984100223,2,20,8,3,0.117836415000056,1,1.46240984100223,3,0,1,0,0,NaN,NaN,2
265,0.65,3,10,2,3.31376866600112,1,49,7,1,0.0536992189990997,0,NaN,NaN,0,0,0,1,-0.587785252292473,-0.809016994374947,2
193,0.65,3,8,2,2.44565313199928,2,49,13,1,0.00236723799753236,1,2.44565313199928,1,0,1,0,0,NaN,NaN,2
84,0.65,1,6,1,1.39645138099877,1,12,4,4,0.0260382800006482,1,1.39645138099877,4,1,0,0,0,-0.866025403784439,-0.5,2
62,0.65,3,4,2,1.29753845800224,2,62,5,3,0.125622728999588,1,1.29753845800224,3,0,1,0,0,NaN,NaN,2
232,0.65,1,10,2,3.5768396909989,1,16,6,1,0.0487222080009815,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,2
184,1.4,3,8,2,1.64833029799775,2,40,12,1,1.51824632500211,1,1.64833029799775,1,0,1,0,0,NaN,NaN,2
14,0.65,1,4,1,2.04605012199681,1,14,2,4,0.149229917002231,1,2.04605012199681,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
157,0.65,1,8,2,1.37380356100039,1,13,4,2,0.0538616710000497,0,NaN,NaN,0,0,0,1,-0.923879532511287,0.38268343236509,2
57,1.4,3,4,1,1.69644040000276,1,57,1,4,0.0390571329990053,1,1.69644040000276,4,1,0,0,0,0.707106781186548,0.707106781186547,2
46,0.65,3,4,2,1.9787228080022,2,46,5,3,0.033612680999795,1,1.9787228080022,3,0,1,0,0,NaN,NaN,2
256,1.4,3,10,2,2.64998067600027,1,40,5,2,2.57566479600064,0,NaN,NaN,0,0,0,1,-0.951056516295154,0.309016994374948,2
231,0.65,1,10,2,1.66289615700225,1,15,6,1,0.21101166399967,0,NaN,NaN,0,0,0,1,-0.951056516295154,-0.309016994374947,2
175,1.4,1,8,2,2.68443771199964,2,31,10,1,0.124441709001985,1,2.68443771199964,1,0,1,0,0,NaN,NaN,2
243,1.4,1,10,2,3.12397952499668,2,27,20,2,0.00336258699826431,1,3.12397952499668,2,0,1,0,0,NaN,NaN,2
129,1.4,3,6,2,1.73124799200014,1,57,6,3,1.4226485500003,0,NaN,NaN,0,0,0,1,0.866025403784439,-0.5,2
74,0.65,1,6,1,2.46143683499758,1,2,6,3,0.077286247000302,1,2.46143683499758,3,1,0,0,0,0.866025403784439,-0.5,2
78,0.65,1,6,2,1.24855472100171,2,6,12,3,0.0469192109994765,1,1.24855472100171,3,0,1,0,0,NaN,NaN,2
191,0.65,3,8,1,2.03200556600132,2,47,12,4,0.0485748760002025,0,NaN,NaN,0,0,1,0,NaN,NaN,2
3,0.65,1,4,2,1.58578578400193,2,3,8,3,0.90367115099798,1,1.58578578400193,3,0,1,0,0,NaN,NaN,2
177,1.4,1,8,2,1.66872935799984,1,33,7,2,0.0320275429985486,0,NaN,NaN,0,0,0,1,0.38268343236509,-0.923879532511287,2
219,0.65,1,10,2,1.24567342000228,1,3,3,2,0.081906038998568,0,NaN,NaN,0,0,0,1,6.12323399573677e-17,1,2
217,0.65,1,10,2,1.56220926800233,2,1,18,1,0.78288657399753,1,1.56220926800233,1,0,1,0,0,NaN,NaN,2
150,0.65,1,8,NaN,4.00044110200179,2,6,15,1,1.05530467299832,0,NaN,NaN,0,0,0,0,NaN,NaN,2
171,1.4,1,8,1,2.03911247999713,2,27,11,4,0.0548623569993651,0,NaN,NaN,0,0,1,0,NaN,NaN,2
206,0.65,3,8,2,3.05224316500244,1,62,7,3,0.0736013400019147,0,NaN,NaN,0,0,0,1,0.38268343236509,-0.923879532511287,2
209,1.4,3,8,2,3.23823240999991,2,65,11,1,0.46262874599779,1,3.23823240999991,1,0,1,0,0,NaN,NaN,2
