code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
282,0.65,3,10,2,1.87126611899998,2,66,13,2,2.86466012400001,1,1.87126611899998,2,0,1,0,0,NaN,NaN,2
5,0.65,1,4,1,0.909008600999869,1,5,3,4,1.24782942100001,1,0.909008600999869,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
62,0.65,3,4,2,2.12134060800008,1,62,3,3,3.39430481299996,0,NaN,NaN,0,0,0,1,-0.707106781186548,-0.707106781186547,2
92,1.4,1,6,2,3.12937636600009,2,20,8,2,1.18953021300013,1,3.12937636600009,2,0,1,0,0,NaN,NaN,2
175,1.4,1,8,1,0.884238224000001,1,31,4,4,1.22096453800009,1,0.884238224000001,4,1,0,0,0,-0.923879532511287,0.38268343236509,2
116,1.4,3,6,NaN,4.0021327259999,1,44,5,NaN,4.00133067100001,0,NaN,NaN,0,0,0,0,-1.83697019872103e-16,-1,2
115,0.65,3,6,2,1.5610324270001,2,43,9,4,0.591342296999983,1,1.5610324270001,4,0,1,0,0,NaN,NaN,2
234,0.65,1,10,2,1.31349116700017,1,18,8,2,1.74341735799999,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,2
108,1.4,1,6,2,1.68050454899981,2,36,9,3,1.63533918899998,1,1.68050454899981,3,0,1,0,0,NaN,NaN,2
23,1.4,1,4,1,1.04129452500001,1,23,2,4,0.274248030000081,1,1.04129452500001,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
237,1.4,1,10,2,1.45575323399999,1,21,8,2,0.115959553999801,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,2
230,0.65,1,10,2,2.85358984000004,2,14,20,2,1.01597979600001,1,2.85358984000004,2,0,1,0,0,NaN,NaN,2
88,0.65,1,6,1,1.01995616999989,1,16,2,4,0.144754219999868,1,1.01995616999989,4,1,0,0,0,6.12323399573677e-17,1,2
178,1.4,1,8,2,2.27479096399998,1,34,6,1,0.00195198500000515,0,NaN,NaN,0,0,0,1,-0.38268343236509,-0.923879532511287,2
103,1.4,1,6,2,1.59222838100004,2,31,12,2,0.414636588000121,1,1.59222838100004,2,0,1,0,0,NaN,NaN,2
212,1.4,3,8,2,1.6291310380002,2,68,9,2,0.00339530800010834,1,1.6291310380002,2,0,1,0,0,NaN,NaN,2
258,1.4,3,10,1,1.62659943500012,1,42,6,3,0.91275948800012,1,1.62659943500012,3,1,0,0,0,-0.951056516295154,-0.309016994374947,2
145,0.65,1,8,1,0.875914104999993,2,1,9,4,0.237796301999879,0,NaN,NaN,0,0,1,0,NaN,NaN,2
253,0.65,3,10,2,1.13069874899998,2,37,12,4,0.882635964999963,1,1.13069874899998,4,0,1,0,0,NaN,NaN,2
265,0.65,3,10,2,1.75077613300004,1,49,10,2,0.0174918860000162,0,NaN,NaN,0,0,0,1,0.951056516295154,-0.309016994374948,2
171,1.4,1,8,2,2.33907031099989,1,27,5,2,0.232694906000006,0,NaN,NaN,0,0,0,1,-0.923879532511287,-0.38268343236509,2
160,0.65,1,8,1,0.923355478000076,1,16,3,4,0.138392842999792,1,0.923355478000076,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
232,0.65,1,10,2,1.29138498299994,1,16,3,2,0.0732186769998862,0,NaN,NaN,0,0,0,1,6.12323399573677e-17,1,2
249,1.4,1,10,1,1.05002437899998,1,33,9,4,0.0434075420000681,1,1.05002437899998,4,1,0,0,0,0.587785252292473,-0.809016994374948,2
8,0.65,1,4,1,0.771118216000104,1,8,2,4,0.134520242999997,1,0.771118216000104,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
78,0.65,1,6,2,2.02488650700002,2,6,8,2,0.188145167999664,1,2.02488650700002,2,0,1,0,0,NaN,NaN,2
84,0.65,1,6,1,0.86575876400002,1,12,2,4,0.112773099000151,1,0.86575876400002,4,1,0,0,0,6.12323399573677e-17,1,2
14,0.65,1,4,1,0.924126290000004,1,14,3,4,0.111156655999821,1,0.924126290000004,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
68,1.4,3,4,2,1.28399196000009,2,68,8,4,0.174460653999631,1,1.28399196000009,4,0,1,0,0,NaN,NaN,2
177,1.4,1,8,2,1.82005010900002,2,33,10,1,0.481020162999812,1,1.82005010900002,1,0,1,0,0,NaN,NaN,2
235,1.4,1,10,2,1.76826930200014,2,19,18,2,1.19679409299988,1,1.76826930200014,2,0,1,0,0,NaN,NaN,2
151,0.65,1,8,2,1.98253159900014,1,7,3,2,0.172654872000294,0,NaN,NaN,0,0,0,1,-0.38268343236509,0.923879532511287,2
12,0.65,1,4,1,2.46254346499973,1,12,4,2,1.23559652600034,1,2.46254346499973,2,1,0,0,0,0.707106781186547,-0.707106781186548,2
1,0.65,1,4,1,0.814573155999824,1,1,3,4,0.0884681530001217,1,0.814573155999824,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
102,1.4,1,6,2,1.18238026800009,2,30,7,4,0.233129780000127,1,1.18238026800009,4,0,1,0,0,NaN,NaN,2
236,1.4,1,10,2,1.52871029399967,1,20,7,2,0.66953592200025,0,NaN,NaN,0,0,0,1,-0.587785252292473,-0.809016994374947,2
30,1.4,1,4,1,0.808211611000388,1,30,3,4,0.0884225180002431,1,0.808211611000388,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
22,1.4,1,4,2,1.14327512299997,2,22,5,4,0.0483345640000152,1,1.14327512299997,4,0,1,0,0,NaN,NaN,2
140,1.4,3,6,1,0.782019696000134,1,68,1,4,0.00553495499980272,1,0.782019696000134,4,1,0,0,0,0.866025403784439,0.5,2
231,0.65,1,10,2,1.52519137800027,1,15,5,2,0.0919279939998887,0,NaN,NaN,0,0,0,1,-0.951056516295154,0.309016994374948,2
206,0.65,3,8,1,1.411189337,1,62,6,3,0.367604894999658,1,1.411189337,3,1,0,0,0,-0.38268343236509,-0.923879532511287,2
7,0.65,1,4,2,1.66630665899993,2,7,7,4,0.200040024999907,1,1.66630665899993,4,0,1,0,0,NaN,NaN,2
