code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
66,1.4,3,4,2,0.615240135000022,2,66,8,4,1.81583714600038,1,0.615240135000022,4,0,1,0,0,NaN,NaN,1
5,0.65,1,4,1,0.46263552200071,1,5,3,4,1.11446971700025,1,0.46263552200071,4,1,0,0,0,-0.707106781186548,-0.707106781186547,1
158,0.65,1,8,2,0.781701229000646,2,14,16,2,2.67653510699984,1,0.781701229000646,2,0,1,0,0,NaN,NaN,1
222,0.65,1,10,2,2.28528167999957,2,6,19,2,0.79387312200015,1,2.28528167999957,2,0,1,0,0,NaN,NaN,1
227,0.65,1,10,2,1.0858710399998,1,11,8,1,0.415521714000533,0,NaN,NaN,0,0,0,1,-1.83697019872103e-16,-1,1
106,1.4,1,6,2,1.15354713300076,2,34,10,3,1.51239145499949,1,1.15354713300076,3,0,1,0,0,NaN,NaN,1
179,1.4,1,8,2,0.957188362000124,2,35,16,3,0.801618100000269,1,0.957188362000124,3,0,1,0,0,NaN,NaN,1
54,1.4,3,4,1,0.615748828000505,1,54,2,4,0.975290952999785,1,0.615748828000505,4,1,0,0,0,-0.707106781186547,0.707106781186548,1
88,0.65,1,6,2,1.73322469300001,2,16,7,3,0.539399732000675,1,1.73322469300001,3,0,1,0,0,NaN,NaN,1
226,0.65,1,10,2,3.38347437099947,1,10,1,2,1.0908866360005,0,NaN,NaN,0,0,0,1,0.951056516295154,0.309016994374947,1
218,0.65,1,10,2,1.03332645699993,2,2,20,3,0.23634363400015,1,1.03332645699993,3,0,1,0,0,NaN,NaN,1
225,0.65,1,10,2,0.763990138999361,2,9,15,2,1.60224751599981,1,0.763990138999361,2,0,1,0,0,NaN,NaN,1
10,0.65,1,4,2,0.506613401000322,2,10,8,4,0.305685990000711,1,0.506613401000322,4,0,1,0,0,NaN,NaN,1
277,1.4,3,10,2,1.50440620400059,1,61,4,2,0.269993277999674,0,NaN,NaN,0,0,0,1,-0.587785252292473,0.809016994374947,1
93,1.4,1,6,2,0.744314529999428,1,21,2,3,0.527546713999982,0,NaN,NaN,0,0,0,1,6.12323399573677e-17,1,1
278,0.65,3,10,2,1.35562939200008,2,62,13,2,0.128235016999497,1,1.35562939200008,2,0,1,0,0,NaN,NaN,1
272,0.65,3,10,1,0.519687494000209,1,56,10,4,0.37769953499992,1,0.519687494000209,4,1,0,0,0,0.951056516295154,-0.309016994374948,1
165,1.4,1,8,2,1.76670506799928,1,21,4,2,0.80686349700045,0,NaN,NaN,0,0,0,1,-0.923879532511287,0.38268343236509,1
157,0.65,1,8,2,1.78299463099938,2,13,14,3,0.550175370999568,1,1.78299463099938,3,0,1,0,0,NaN,NaN,1
231,0.65,1,10,2,1.7572690979996,2,15,14,NaN,4.00405965299979,1,1.7572690979996,NaN,0,1,0,0,NaN,NaN,1
244,1.4,1,10,2,0.687113404999764,1,28,5,2,0.719629291999809,0,NaN,NaN,0,0,0,1,-0.951056516295154,0.309016994374948,1
82,0.65,1,6,2,2.67278791900026,1,10,3,2,1.29687573499996,0,NaN,NaN,0,0,0,1,-0.866025403784438,0.5,1
269,1.4,3,10,1,0.68655298900012,2,53,11,3,1.41366239199942,0,NaN,NaN,0,0,1,0,NaN,NaN,1
75,0.65,1,6,2,1.06325608499992,2,3,9,3,2.76940646999992,1,1.06325608499992,3,0,1,0,0,NaN,NaN,1
56,0.65,3,4,2,0.742153591000715,2,56,8,4,0.461453808999977,1,0.742153591000715,4,0,1,0,0,NaN,NaN,1
107,1.4,1,6,2,0.630012007999539,2,35,8,3,0.442440067999996,1,0.630012007999539,3,0,1,0,0,NaN,NaN,1
164,1.4,1,8,2,1.3890896490002,2,20,11,2,0.231627530999504,1,1.3890896490002,2,0,1,0,0,NaN,NaN,1
146,0.65,1,8,2,0.890490889999455,2,2,9,2,0.743570929000271,1,0.890490889999455,2,0,1,0,0,NaN,NaN,1
136,0.65,3,6,2,1.43287307499941,1,64,3,3,0.420460274000106,0,NaN,NaN,0,0,0,1,-0.866025403784438,0.5,1
76,0.65,1,6,1,0.49322949100042,1,4,5,4,1.02931202499985,1,0.49322949100042,4,1,0,0,0,-1.83697019872103e-16,-1,1
92,1.4,1,6,2,0.565882464999959,2,20,7,3,0.531496339000114,1,0.565882464999959,3,0,1,0,0,NaN,NaN,1
192,1.4,3,8,1,2.23884508500032,1,48,1,2,0.985435981000592,1,2.23884508500032,2,1,0,0,0,0.923879532511287,0.38268343236509,1
125,1.4,3,6,1,0.89994113099965,1,53,1,3,0.523139060999711,1,0.89994113099965,3,1,0,0,0,0.866025403784439,0.5,1
126,1.4,3,6,2,0.94998996600043,2,54,9,3,0.919950774000426,1,0.94998996600043,3,0,1,0,0,NaN,NaN,1
215,0.65,3,8,2,1.04995033299929,2,71,11,3,1.52865363500041,1,1.04995033299929,3,0,1,0,0,NaN,NaN,1
252,1.4,1,10,1,0.582681416000014,1,36,7,4,0.365446159999919,1,0.582681416000014,4,1,0,0,0,-0.587785252292473,-0.809016994374947,1
41,1.4,3,4,2,0.563676891999421,2,41,7,4,0.289288951999879,1,0.563676891999421,4,0,1,0,0,NaN,NaN,1
